city,name,type,capacity,latitude,longitude,website,addr_street,addr_city,operator,phone,opening_hours,osm_id,source,region,country
Jakarta,DanceSignal Spot - Domain,nightclub,,,,,,,,,,309734894,OpenStreetMap,SEA,Indonesia
Jakarta,Stadium,nightclub,,,,,,,,,,2465991275,OpenStreetMap,SEA,Indonesia
Jakarta,Colosseum Club,nightclub,,,,,Jalan Kunir No. 7,"Pinangsia, Taman Sari",,,,4241092200,OpenStreetMap,SEA,Indonesia
Jakarta,GOR Velodrome Rawamangun,stadium,,,,,Jalan Pemuda,East Jakarta,,,,4242680779,OpenStreetMap,SEA,Indonesia
Jakarta,Siera Entertainment,nightclub,,,,,Mangga Besar,,,,,4329170892,OpenStreetMap,SEA,Indonesia
Jakarta,70003,theatre,,,,,,,,,,4336472889,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,nightclub,,,,,,,,,,5204944770,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,nightclub,,,,,,,,,,5205118621,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,nightclub,,,,,Jalan Daan Mogot,,,,,5857641085,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,theatre,,,,https://www.wobharata.id/,,,,,Sa 19:00-22:00,6255594385,OpenStreetMap,SEA,Indonesia
Jakarta,XXI,theatre,,,,,Jalan Raya Pondok Gede,Bekasi,XXI,,,6851163980,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,nightclub,,,,,,,,,,7038735787,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,nightclub,,,,,,,,,,7038790488,OpenStreetMap,SEA,Indonesia
Jakarta,Jenja,nightclub,,,,,,,,,,7332916261,OpenStreetMap,SEA,Indonesia
Jakarta,JKT48 Theater,theatre,,,,,,,,,,8098330724,OpenStreetMap,SEA,Indonesia
Jakarta,Teater Halaman,theatre,,,,,,,,,,8494707599,OpenStreetMap,SEA,Indonesia
Jakarta,Unknown,nightclub,,,,,,,,,,10300640966,OpenStreetMap,SEA,Indonesia
Jakarta,Pondok Joglo,events_venue,,,,https://pondok-joglo.business.site/,Jalan Centex,DKI Jakarta,,,,11332949568,OpenStreetMap,SEA,Indonesia
Jakarta,Azila Villa,events_venue,,,,https://www.instagram.com/azilavilla/?hl=en,Jalan Damai PBSI,Kota Jakarta TImur,,,,11813626454,OpenStreetMap,SEA,Indonesia
Jakarta,Krapela,nightclub,,,,https://www.krapela.live/,Jalan Bulungan,Jakarta,,+62 851-8668-5727,Tu-Th 18:00-25:30;Fr-Su 18:00-27:00,11862617670,OpenStreetMap,SEA,Indonesia
Jakarta,HW Super House,nightclub,,,,https://www.instagram.com/superhouse.liveshow,"Jl. Prof. DR. Satrio No.Kav.6, Kuningan, Karet Kuningan, Kecamatan Setiabudi, South Jakarta 1940",,,,,12117014680,OpenStreetMap,SEA,Indonesia
Jakarta,Teater Wahyu Sihombing,theatre,,,,,,,,,,12587106761,OpenStreetMap,SEA,Indonesia
Jakarta,GBK Arena Events Venue,events_venue,,,,,,,,,,12993816679,OpenStreetMap,SEA,Indonesia
Jakarta,Kismet,nightclub,,,,,,,,,,13235097887,OpenStreetMap,SEA,Indonesia
Buenos Aires,Teatro Sarmiento,theatre,,,,,Avenida Sarmiento,Ciudad Autónoma de Buenos Aires,,,,454548621,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Astral,theatre,,,,,,,,,,479738122,OpenStreetMap,LATAM,Argentina
Buenos Aires,La Catedral,nightclub,,,,http://www.lacatedralclub.com,Sarmiento,Ciudad Autónoma de Buenos Aires,,,,615558789,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Cervantes,theatre,,,,http://www.teatrocervantes.gov.ar/,Avenida Córdoba,Ciudad Autónoma de Buenos Aires,,+54 11 4816-4224; +54 11 4815-8883,,669126570,OpenStreetMap,LATAM,Argentina
Buenos Aires,Opera Allianz,theatre,,,,,Avenida Corrientes,Ciudad Autónoma de Buenos Aires,,,,767725549,OpenStreetMap,LATAM,Argentina
Buenos Aires,Tabaris,theatre,,,,,,,,,,767725550,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Municipal Roma,theatre,,,,,Domingo Faustino Sarmiento,,,,,909701331,OpenStreetMap,LATAM,Argentina
Buenos Aires,Sunset,nightclub,,,,,,,,,,925991222,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro del Picadero,theatre,,,,,,,,,,1109818967,OpenStreetMap,LATAM,Argentina
Buenos Aires,Los Angeles,theatre,,,,,,,,,,1141437542,OpenStreetMap,LATAM,Argentina
Buenos Aires,Regio,theatre,,,,,,,,,,1178026351,OpenStreetMap,LATAM,Argentina
Buenos Aires,British Arts Centre,theatre,,,,http://www.britishartscentre.org.ar,,,,,,1283906328,OpenStreetMap,LATAM,Argentina
Buenos Aires,Liceo,theatre,,,,,,,,,,1399347798,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro El Alep,theatre,,,,,,,,,,1402332245,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro de Flores,theatre,,,,,,,,,,1402332756,OpenStreetMap,LATAM,Argentina
Buenos Aires,C. C. Adan Buenos Aires,theatre,,,,,,,,,,1432335008,OpenStreetMap,LATAM,Argentina
Buenos Aires,La Trastienda Club,theatre,,,,https://www.latrastienda.com/,,,,,,1456348674,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro General San Martín,theatre,,,,,,,,,,1678485810,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Paseo La Plaza,theatre,,,,https://www.paseolaplaza.com.ar/,Avenida Corrientes,Ciudad Autónoma de Buenos Aires,,+54 11 63205300,"Mo 11:00-20:00; Tu, We 11:00-21:00; Th 11:00-23:00; Fr, Sa 11:00-00:00; Su 13:00-21:30",1678512609,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro del Pueblo,theatre,,,,,,,,,,1830096169,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro del Ángel,theatre,,,,,Mario Bravo,Ciudad Autónoma de Buenos Aires,,,,2086715082,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Cabildo,theatre,,,,,,,,,,2187204372,OpenStreetMap,LATAM,Argentina
Buenos Aires,"Geiser Eventos, Catering",events_venue,,,,https://www.fiestasinolvidables.com/geiser/,Avenida Doctor Juan Felipe Aranguren,Ciudad Autónoma de Buenos Aires,,+54 11 4671-8059,,2349945493,OpenStreetMap,LATAM,Argentina
Buenos Aires,Ame Eventos,events_venue,,,,,,,,,,2569565280,OpenStreetMap,LATAM,Argentina
Buenos Aires,Makena Cantina Club,nightclub,,,,,Fitz Roy,Ciudad Autónoma de Buenos Aires,,,,2662236714,OpenStreetMap,LATAM,Argentina
Buenos Aires,Brujas Disco-Bar,nightclub,,,,https://www.facebook.com/brujasdiscopalermo/,,,,+54 11 4174-2992,"We,Th 01:00-06:00; Fr 01:00-06:00,20:00-24:00; Sa,Su 00:00-06:00,20:00-24:00",2686872412,OpenStreetMap,LATAM,Argentina
Buenos Aires,El Tacuarí,music_venue,,,,,Tacuarí,Ciudad Autónoma de Buenos Aires,,,,2722456327,OpenStreetMap,LATAM,Argentina
Buenos Aires,Torquato Tasso,music_venue,,,,,Defensa,Ciudad Autónoma de Buenos Aires,,,,2724719214,OpenStreetMap,LATAM,Argentina
Buenos Aires,Hasta Trilce,theatre,,,,,Maza,Ciudad Autónoma de Buenos Aires,,,,2726967308,OpenStreetMap,LATAM,Argentina
Buenos Aires,Auditorio Misericordia,theatre,,,,,,,,,,2733105015,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Margarita Xirgu,theatre,,,,,Chacabuco,Ciudad Autónoma de Buenos Aires,,,,2734380683,OpenStreetMap,LATAM,Argentina
Buenos Aires,Rua,nightclub,,,,,Chacabuco,Ciudad Autónoma de Buenos Aires,,,,2734408321,OpenStreetMap,LATAM,Argentina
Buenos Aires,Cendas,theatre,,,,https://cendas.com.ar/,Bulnes,Ciudad Autónoma de Buenos Aires,,+54 11 4862-3418; +54 11 4862-2439,,2756487459,OpenStreetMap,LATAM,Argentina
Buenos Aires,Piazzolla Tango,theatre,,,,https://piazzollatango.com/,,,,,,2837034334,OpenStreetMap,LATAM,Argentina
Buenos Aires,Infekted,nightclub,,,,http://www.infekted.com.ar/,Piedras,Ciudad Autónoma de Buenos Aires,,,Sa-Mo 00:00-06:00,2974997631,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Colonial,theatre,,,,,Avenida Paseo Colón,Ciudad Autónoma de Buenos Aires,,,,2998119689,OpenStreetMap,LATAM,Argentina
Buenos Aires,El Camarín de las Musas,theatre,,,,,Mario Bravo,Ciudad Autónoma de Buenos Aires,,,,3086429833,OpenStreetMap,LATAM,Argentina
Buenos Aires,El Tinglado,theatre,,,,,Mario Bravo,Ciudad Autónoma de Buenos Aires,,,,3086429834,OpenStreetMap,LATAM,Argentina
Buenos Aires,Código Montesco,theatre,,,,,Gorriti,Ciudad Autónoma de Buenos Aires,,,,3111486439,OpenStreetMap,LATAM,Argentina
Buenos Aires,Auditorio de SADOP,theatre,,,,,Teniente General Juan Domingo Perón,Ciudad Autónoma de Buenos Aires,,,,3186635109,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro El Piccolino,theatre,,,,,Fitz Roy,Ciudad Autónoma de Buenos Aires,,,,3257393473,OpenStreetMap,LATAM,Argentina
Buenos Aires,Chacarerean Teatre,theatre,,,,https://chacarereanteatre.com.ar,Nicaragua,Ciudad Autónoma de Buenos Aires,,+54 11 4775-9010,,3275071262,OpenStreetMap,LATAM,Argentina
Buenos Aires,Salon Canning,nightclub,,,,,Avenida Raúl Scalabrini Ortiz,Ciudad Autónoma de Buenos Aires,Parakultural,,,3295720082,OpenStreetMap,LATAM,Argentina
Buenos Aires,E. C. Mi Casa,theatre,,,,https://www.facebook.com/micasa787,Agüero,Ciudad Autónoma de Buenos Aires,,,,3310836061,OpenStreetMap,LATAM,Argentina
Buenos Aires,Tazz,nightclub,,,,http://www.tazzbars.com.ar/,Armenia,Ciudad Autónoma de Buenos Aires,,,,3416796210,OpenStreetMap,LATAM,Argentina
Buenos Aires,Villa San José,events_venue,,,,,Arcos,Ciudad Autónoma de Buenos Aires,,,,3689635926,OpenStreetMap,LATAM,Argentina
Buenos Aires,Phuket,nightclub,,,,,,,,,,3733532916,OpenStreetMap,LATAM,Argentina
Buenos Aires,UOCRA Cultura,theatre,,,,,Rawson,Ciudad Autónoma de Buenos Aires,,,,3779075013,OpenStreetMap,LATAM,Argentina
Buenos Aires,Mega Eventos Sur,events_venue,,,,https://www.megaeventossur.com.ar/,,,,,,3869517157,OpenStreetMap,LATAM,Argentina
Buenos Aires,Kika,nightclub,1100.0,,,,Honduras,Ciudad Autónoma de Buenos Aires,Babushka S.A.,,,3968551825,OpenStreetMap,LATAM,Argentina
Buenos Aires,Belushi,nightclub,,,,,,,,,,3968551826,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro El Desguace,theatre,,,,,,,,,,4065778791,OpenStreetMap,LATAM,Argentina
Buenos Aires,Anfiteatro Barrio Copello,theatre,,,,,Avenida Teniente General Luis Dellepiane Norte,Ciudad Autónoma de Buenos Aires,,,,4096494226,OpenStreetMap,LATAM,Argentina
Buenos Aires,La salsera,nightclub,,,,https://www.lasalsera.com/index1.html,Yatay,Ciudad Autónoma de Buenos Aires,,+54 11 4866-1829,,4270865489,OpenStreetMap,LATAM,Argentina
Buenos Aires,Teatro Coliseo,theatre,,,,https://www.teatrocoliseo.org.ar/,Marcelo T. de Alvear,Ciudad Autónoma de Buenos Aires,Estado Italiano,+54 11 4816-3789,,4293917804,OpenStreetMap,LATAM,Argentina
