col1,col2,col3,col4,col5,col6,col7,venue_type
Misr Stadium,"93,940",The New Capital,Egypt,Africa,Egypt national football team,Association football,Stadium
Jakarta International Stadium,"82,000",Jakarta,Indonesia,Southeast Asia,"Persija Jakarta, Indonesia national football team",Association football,Stadium
Estadio Monumental,"80,093",Lima,Peru,South America,Universitario de Deportes,Association football,Stadium
Stade des Martyrs,"80,000",Kinshasa,Democratic Republic of the Congo,Africa,DR Congo national football team,Association football,Stadium
Allianz Arena,"75,024",Munich,Germany,Europe,Bayern Munich,Association football,Stadium
Ibn Batouta Stadium,"75,000",Tangier,Morocco,Africa,"IR Tanger, Morocco national football team",Association football,Stadium
Mercedes-Benz Stadium,"73,019",Atlanta,United States,North America,"Atlanta Falcons, Atlanta United FC","American football, association football",Stadium
Shanghai Stadium,"72,000",Shanghai,China,East Asia,Shanghai Shenhua,Association football,Stadium
Metropolitano Stadium,"70,692",Madrid,Spain,Europe,Atlético Madrid,Association football,Stadium
SoFi Stadium,"70,240",Inglewood, United States,North America,"Los Angeles Rams, Los Angeles Chargers, hosts LA Bowl",American football,Stadium
Seoul Olympic Stadium,"68,900",Seoul,South Korea,East Asia,South Korea national football team,"Athletics, association football",Stadium
Krestovsky Stadium,"68,134",Saint Petersburg,Russia,Europe,FC Zenit Saint Petersburg,Association football,Stadium
Estádio da Luz,"68,100",Lisbon,Portugal,Europe,Benfica,Association football,Stadium
Workers' Stadium,"68,000",Beijing,China,East Asia,"Beijing Guoan, China national football team",Association football,Stadium
Stade Vélodrome,"67,344",Marseille,France,Europe,"Olympique de Marseille, RC Toulon*","Association football, rugby union",Stadium
The Dome at America's Center,"67,277",St. Louis,United States,North America,St. Louis BattleHawks,American football,Stadium
Puskás Aréna,"67,215",Budapest,Hungary,Europe,Hungary national football team,Association football,Stadium
Murrayfield Stadium,"67,144",Edinburgh,United Kingdom,Europe,Scotland national rugby union team* 87 ,Rugby union,Stadium
Seoul World Cup Stadium,"66,806",Seoul,South Korea,East Asia,"South Korea national football team, FC Seoul",Association football,Stadium
U.S. Bank Stadium,"66,655",Minneapolis,United States,North America,Minnesota Vikings,American football,Stadium
Daegu Stadium,"66,422",Daegu,South Korea,East Asia,Daegu FC,"Athletics, association football",Stadium
Lane Stadium,"66,233","Blacksburg, Virginia",United States,North America,Virginia Tech Hokies football,American football,Stadium
Raymond James Stadium,"65,847","Tampa, Florida",United States,North America,"Tampa Bay Buccaneers, South Florida Bulls football (through 2026), Tampa Bay Vipers",American football,Stadium
Paycor Stadium,"65,515",Cincinnati,United States,North America,Cincinnati Bengals,American football,Stadium
Allegiant Stadium,"65,000","Paradise, Nevada(postal address Las Vegas)", United States,North America,"Las Vegas Raiders, UNLV Rebels football, hosts Las Vegas Bowl",American football,Stadium
Mogadishu Stadium,"65,000",Mogadishu,Somalia,Africa,"Somalia national football team, Elman FC and other local teams",Association football,Stadium
Basra International Stadium,"65,000",Basra,Iraq,Western Asia,Iraq national football team,Association football,Stadium
