wikidata_id,name,country,type,capacity,latitude,longitude,region,source,website,capacity_num
Q107170389,Jeddah Super Dome,Saudi Arabia,venue,40000.0,21.7485422,39.1490869,EMEA_Gulf,Wikidata_Clubs,,40000.0
Q5126332,Claremont Showground,Australia,venue,40000.0,-31.975552387,115.785503613,APAC,Wikidata_Clubs,,40000.0
Q122943616,am,India,venue,30000.0,5.2958,82.8549,APAC,Wikidata_Clubs,,30000.0
Q58831268,Indomilk Arena,Indonesia,venue,30000.0,-6.258583333,106.60425,SEA,Wikidata_Clubs,,30000.0
Q4116944,Prince Abdullah bin Jalawi Sports City,Saudi Arabia,venue,27550.0,25.305833333,49.612777777,EMEA_Gulf,Wikidata_Clubs,,27550.0
Q489699,Miyagi Baseball Stadium,Japan,venue,23451.0,38.25620556,140.9025,APAC,Wikidata_Clubs,,23451.0
Q4820001,Auditorio Banamex,Mexico,theatre building,23122,25.677677,-100.280732,LATAM,Wikidata,http://www.auditoriobanamex.com.mx/,23122.0
Q29014,Millennium Dome,United Kingdom,movie theater,23000,51.502816666,0.003116666,EMEA,Wikidata,,23000.0
Q978904,Perth Rectangular Stadium,Australia,movie theater,20441,-31.945751164,115.869923754,APAC,Wikidata,,20441.0
Q56640662,Theatre of Smyrna,Turkey,theatre building,20000,38.416055555,27.144055555,EMEA,Wikidata,,20000.0
Q105393795,Etihad Arena,United Arab Emirates,venue,18000.0,24.4603,54.604,EMEA_Gulf,Wikidata_Clubs,https://www.etihadarena.ae/,18000.0
Q9341152,Markéta Stadium,Czech Republic,stadium,17500,50.083611111,14.350555555,EMEA,Wikidata_Premium,,17500.0
Q10276880,Estádio Palma Travassos,Brazil,stadium,17360,-21.186944,-47.787778,LATAM,Wikidata_Premium,,17360.0
Q673240,Makomanai Open Stadium,Japan,stadium,17324,42.996388888,141.343055555,APAC,Wikidata_Premium,http://www.makomanai.com/openstadium/,17324.0
Q571624,Idrottsparken,Sweden,stadium,17234,58.584166666,16.173055555,EMEA,Wikidata_Premium,,17234.0
Q1851616,Stadio Brianteo,Italy,stadium,17102,45.582778,9.308056,EMEA,Wikidata_Premium,,17102.0
Q2012081,Edward Jancarz Stadium,Poland,stadium,17024,52.720833,15.228056,EMEA,Wikidata_Premium,,17024.0
Q11469670,JIT Recycle Ink Stadium,Japan,stadium,17000,35.622376,138.589756,APAC,Wikidata_Premium,http://www.kose-sp.pref.yamanashi.jp/kose_wdm/html/rikujyo/index.html,17000.0
Q11662291,Aomori Stadium,Japan,stadium,17000,40.80656111,140.7075889,APAC,Wikidata_Premium,http://www.sport-aoimori.jp/,17000.0
Q7596105,Stade Emile Albeau,France,stadium,17000,49.6939,4.93887,EMEA,Wikidata_Premium,,17000.0
Q7057322,North West Stadium,South Africa,stadium,17000,-27.9778,26.6917,EMEA_Africa,Wikidata_Premium,,17000.0
Q9255376,Estádio Municipal Coaracy da Mata Fonseca,Brazil,stadium,17000,-9.747667,-36.666806,LATAM,Wikidata_Premium,,17000.0
Q11591749,Fukui Prefectural Athletic Stadium,Japan,stadium,17000,36.0534,136.185,APAC,Wikidata_Premium,,17000.0
Q124460245,IG Arena,Japan,arena,17000,35.19,136.9027,APAC,Wikidata_Premium,https://ig-arena.jp/,17000.0
Q3495616,Stade André-et-Guy-Boniface,France,stadium,16800,43.89537,-0.48264,EMEA,Wikidata_Premium,,16800.0
Q3967963,OSiR Stadium in Olsztyn,Poland,stadium,16800,53.772778,20.508056,EMEA,Wikidata_Premium,,16800.0
