wikidata_id,name,country,type,capacity,latitude,longitude,region,source,website,capacity_num,size_category
Q5126332,Claremont Showground,Australia,venue,40000.0,-31.975552387,115.785503613,APAC,Wikidata_Clubs,,40000.0,Mega (40K+)
Q489699,Miyagi Baseball Stadium,Japan,venue,23451.0,38.25620556,140.9025,APAC,Wikidata_Clubs,,23451.0,Major (15-40K)
Q673240,Makomanai Open Stadium,Japan,stadium,17324.0,42.996388888,141.343055555,APAC,Wikidata_Premium,http://www.makomanai.com/openstadium/,17324.0,Major (15-40K)
Q11469670,JIT Recycle Ink Stadium,Japan,stadium,17000.0,35.622376,138.589756,APAC,Wikidata_Premium,http://www.kose-sp.pref.yamanashi.jp/kose_wdm/html/rikujyo/index.html,17000.0,Major (15-40K)
Q11662291,Aomori Stadium,Japan,stadium,17000.0,40.80656111,140.7075889,APAC,Wikidata_Premium,http://www.sport-aoimori.jp/,17000.0,Major (15-40K)
Q11591749,Fukui Prefectural Athletic Stadium,Japan,stadium,17000.0,36.0534,136.185,APAC,Wikidata_Premium,,17000.0,Major (15-40K)
Q124460245,IG Arena,Japan,arena,17000.0,35.19,136.9027,APAC,Wikidata_Premium,https://ig-arena.jp/,17000.0,Major (15-40K)
Q7828502,Tottori Bank Bird Stadium,Japan,stadium,16033.0,35.458333,134.221667,APAC,Wikidata_Premium,,16033.0,Major (15-40K)
Q4788893,Arena Joondalup,Australia,stadium,16000.0,-31.734167,115.763056,APAC,Wikidata_Premium,,16000.0,Major (15-40K)
Q624231,Masan Baseball Stadium,South Korea,stadium,16000.0,35.220797,128.581058,APAC,Wikidata_Premium,,16000.0,Major (15-40K)
Q7081550,Oita Athletic Stadium,Japan,stadium,16000.0,33.246389,131.623056,APAC,Wikidata_Premium,,16000.0,Major (15-40K)
Q1674107,Estádio Campo Desportivo,People's Republic of China,stadium,16000.0,22.154523,113.553266,APAC,Wikidata_Premium,,16000.0,Major (15-40K)
Q493801,Changwon Football Center,South Korea,stadium,15500.0,35.223406,128.705707,APAC,Wikidata_Premium,,15500.0,Major (15-40K)
Q2035401,Perth Arena,Australia,stadium,15500.0,-31.948333333,115.851944444,APAC,Wikidata_Premium,https://www.racarena.com.au/,15500.0,Major (15-40K)
Q6455264,Kōriyama Kaiseizan Athletic Stadium,Japan,stadium,15474.0,37.397694,140.360417,APAC,Wikidata_Premium,http://www.city.koriyama.fukushima.jp/index.html,15474.0,Major (15-40K)
Q6958603,Nagasaki Athletic Stadium,Japan,stadium,15419.0,32.838611,130.039444,APAC,Wikidata_Premium,,15419.0,Major (15-40K)
Q17210872,Mikuni World Stadium Kitakyūshū,Japan,stadium,15300.0,33.891444,130.888861,APAC,Wikidata_Premium,http://www.kitakyushu-stadium.jp/,15300.0,Major (15-40K)
Q6349581,Kakogawa Athletic Stadium,Japan,stadium,15275.0,34.808056,134.826111,APAC,Wikidata_Premium,,15275.0,Major (15-40K)
Q1071188,Shonan BMW Stadium Hiratsuka,Japan,stadium,15200.0,35.343608,139.341263,APAC,Wikidata_Premium,,15200.0,Major (15-40K)
Q7081643,Ojiyama Stadium,Japan,stadium,15000.0,35.017222,135.856667,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q6422421,Tompsett Stadium,Australia,stadium,15000.0,-37.762208,144.845397,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q260530,Nobeoka Nishishina Athletic Stadium,Japan,stadium,15000.0,32.570556,131.640556,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q20874628,Jaipal Singh Stadium,India,stadium,15000.0,23.63,85.5425,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q117087266,Q117087266,Japan,stadium,15000.0,35.2822804,136.2550163,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q21161125,Shilaroo Hockey Stadium,India,stadium,15000.0,31.202,77.423,APAC,Wikidata_Premium,http://www.shimlaonline.in/city-guide/shilaroo-hockey-stadium-in-shimla,15000.0,Major (15-40K)
Q24747993,"Nehru Stadium, Hubli",India,stadium,15000.0,15.35027778,75.14277778,APAC,Wikidata_Premium,http://www.espncricinfo.com/india/content/ground/58134.html,15000.0,Major (15-40K)
Q5175282,Venetian Arena,People's Republic of China,arena,15000.0,22.147589,113.558863,APAC,Wikidata_Premium,https://www.venetianmacao.com/entertainment/show-venues/cotai-arena.html,15000.0,Major (15-40K)
Q7660159,Sydney Stadium,Australia,stadium,15000.0,-33.876978,151.230274,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q21809579,Maharana Bhupal Stadium,India,stadium,15000.0,24.578229,73.712396,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q7593232,St George Stadium,Australia,stadium,15000.0,-33.947222,151.155,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q21161146,YS Raja Reddy Stadium,India,stadium,15000.0,,,APAC,Wikidata_Premium,http://www.espncricinfo.com/india/content/ground/543684.html,15000.0,Major (15-40K)
Q5116379,Chungju Public Stadium,South Korea,stadium,15000.0,36.980383,127.936387,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q986110,Guangdong Provincial People's Stadium,People's Republic of China,stadium,15000.0,23.12711,113.278672,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q2560062,Qizhong Forest Sports City Arena,People's Republic of China,arena,15000.0,31.042,121.355522,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q59556849,Daegu iM Bank Park,South Korea,venue,15000.0,35.881253,128.588231,APAC,Wikidata_Clubs,,15000.0,Major (15-40K)
Q5871709,Hitachinaka City Stadium,Japan,stadium,15000.0,36.391944,140.586111,APAC,Wikidata_Premium,,15000.0,Major (15-40K)
Q222878,Rod Laver Arena,Australia,arena,14820.0,-37.8215694,144.9785194,APAC,Wikidata_Premium,https://rodlaverarena.com.au/,14820.0,Large (5-15K)
Q3271722,Henry Fok Stadium,People's Republic of China,stadium,14818.0,22.945908,113.352264,APAC,Wikidata_Premium,,14818.0,Large (5-15K)
Q487224,Olympic Gymnastics Arena,South Korea,arena,14730.0,37.51916,127.127514,APAC,Wikidata_Premium,,14730.0,Large (5-15K)
Q386246,Nippon Budōkan,Japan,arena,14471.0,35.693333,139.75,APAC,Wikidata_Premium,https://www.nipponbudokan.or.jp,14471.0,Large (5-15K)
Q3269725,Indira Gandhi Indoor Stadium,India,arena,14348.0,28.63111111,77.24944444,APAC,Wikidata_Premium,http://delhigovt.nic.in/ground.asp#arc6,14348.0,Large (5-15K)
Q11589021,Kanagawa Prefectural Sports Centre Stadium,Japan,stadium,14030.0,35.36166667,139.4763889,APAC,Wikidata_Premium,,14030.0,Large (5-15K)
Q12127138,New Plaza Stadium,People's Republic of China,stadium,14000.0,23.033349,113.108255,APAC,Wikidata_Premium,,14000.0,Large (5-15K)
Q490165,Mokdong Baseball Stadium,South Korea,stadium,14000.0,37.530706,126.880978,APAC,Wikidata_Premium,,14000.0,Large (5-15K)
Q3277436,Linzi Stadium,People's Republic of China,stadium,14000.0,36.827333,118.294575,APAC,Wikidata_Premium,,14000.0,Large (5-15K)
Q5139096,Coca-Cola West Hiroshima Stadium,Japan,stadium,13800.0,34.375666,132.422939,APAC,Wikidata_Premium,,13800.0,Large (5-15K)
Q16632762,International Hockey Stadium,India,stadium,13648.0,30.6909,76.7373,APAC,Wikidata_Premium,,13648.0,Large (5-15K)
Q488404,Gwangyang Football Stadium,South Korea,stadium,13496.0,34.93312,127.727478,APAC,Wikidata_Premium,,13496.0,Large (5-15K)
Q1092700,Osaka-jō Hall,Japan,arena,13456.0,34.689444,135.529722,APAC,Wikidata_Premium,https://www.osaka-johall.com/,13456.0,Large (5-15K)
Q29726,Sydney Entertainment Centre,Australia,stadium,13250.0,-33.878333,151.202778,APAC,Wikidata_Premium,http://www.sydentcent.com.au,13250.0,Large (5-15K)
Q8039079,Wuhan Sports Center Gymnasium,People's Republic of China,arena,13000.0,30.504097,114.168849,APAC,Wikidata_Premium,,13000.0,Large (5-15K)
Q6424299,Kobe Central Stadium,Japan,stadium,13000.0,34.656744,135.168967,APAC,Wikidata_Premium,,13000.0,Large (5-15K)
