venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Hong Kong Stadium,香港 Hong Kong,China,stadium,"香港大球場 Hong Kong Stadium, 55, 東院道 Eastern Hospital Road, 加路連山 Caroline Hill, 掃桿埔 So Kon Po, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2731426,114.1886523,"https://www.google.com/maps?q=22.2731426,114.1886523",40000,40000,"[""concerts"",""sports""]",[],[],true,https://www.lcsd.gov.hk/en/stadium/hks/,,,"official_site_links={'contact_url': 'http://www.lcsd.gov.hk/en/contactus/email.php', 'events_url': 'https://www.lcsd.gov.hk/en/stadium/hks/common/events/202602.pdf'}","[""https://en.wikipedia.org/wiki/Hong_Kong_Stadium"",""https://www.wikidata.org/wiki/Q992697"",""https://www.wikidata.org/wiki/Q992697#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Hong+Kong+Stadium%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q992697#P856"",""http://www.lcsd.gov.hk/en/contactus/email.php"",""https://www.lcsd.gov.hk/en/stadium/hks/common/events/202602.pdf"",""https://www.lcsd.gov.hk/en/stadium/hks/"",""https://www.eventbrite.com/d/china/Hong+Kong+Stadium+%E9%A6%99%E6%B8%AF+Hong+Kong+China"",""https://www.ticketmaster.com/search?q=Hong+Kong+Stadium+%E9%A6%99%E6%B8%AF+Hong+Kong+China""]"
Mercedes-Benz Arena (Shanghai),上海市,China,arena,"梅赛德斯-奔驰文化中心, 1200, 世博大道, 白莲泾, 上海市, 200126, 中国",31.1909263,121.488699,"https://www.google.com/maps?q=31.1909263,121.488699",18000,18000,"[""concerts"",""esports"",""sports""]",[],[],true,http://www.mercedes-benzarena.com/,,,official_site_links={'contact_url': 'http://www.mercedes-benzarena.com/contact.html'},"[""https://en.wikipedia.org/wiki/Mercedes-Benz_Arena_(Shanghai)"",""https://www.wikidata.org/wiki/Q770149"",""https://www.wikidata.org/wiki/Q770149#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Mercedes-Benz+Arena+%28Shanghai%29%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q770149#P856"",""http://www.mercedes-benzarena.com/contact.html"",""http://www.mercedes-benzarena.com/"",""https://www.eventbrite.com/d/china/Mercedes-Benz+Arena+%28Shanghai%29+%E4%B8%8A%E6%B5%B7%E5%B8%82+China"",""https://www.ticketmaster.com/search?q=Mercedes-Benz+Arena+%28Shanghai%29+%E4%B8%8A%E6%B5%B7%E5%B8%82+China""]"
Beijing National Stadium,朝阳区,China,stadium,"国家速滑馆, 速滑馆北路, 白庙村, 奥运村街道, 朝阳区, 北京市, 100192, 中国",40.0160281,116.3713841,"https://www.google.com/maps?q=40.0160281,116.3713841",80000,80000,"[""concerts"",""sports""]",[],[],true,http://www.n-s.cn/en/,,,,"[""https://en.wikipedia.org/wiki/Beijing_National_Stadium"",""https://www.wikidata.org/wiki/Q133525"",""https://www.wikidata.org/wiki/Q133525#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Beijing+National+Stadium%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q133525#P856"",""https://www.eventbrite.com/d/china/Beijing+National+Stadium+%E6%9C%9D%E9%98%B3%E5%8C%BA+China"",""https://www.ticketmaster.com/search?q=Beijing+National+Stadium+%E6%9C%9D%E9%98%B3%E5%8C%BA+China""]"
Chongqing Olympic Sports Center,九龙坡区,China,stadium,"重庆奥体中心, 奥体四支路, 渝州路街道, 九龙坡区, 重庆市, 400016, 中国",29.5269612,106.5018563,"https://www.google.com/maps?q=29.5269612,106.5018563",58680,58680,"[""concerts"",""sports""]",[],[],true,http://www.cqolympic.org/,,,,"[""https://en.wikipedia.org/wiki/Chongqing_Olympic_Sports_Center"",""https://www.wikidata.org/wiki/Q1064949"",""https://www.wikidata.org/wiki/Q1064949#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Chongqing+Olympic+Sports+Center%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1064949#P856"",""https://www.eventbrite.com/d/china/Chongqing+Olympic+Sports+Center+%E4%B9%9D%E9%BE%99%E5%9D%A1%E5%8C%BA+China"",""https://www.ticketmaster.com/search?q=Chongqing+Olympic+Sports+Center+%E4%B9%9D%E9%BE%99%E5%9D%A1%E5%8C%BA+China""]"
Dalian Sports Centre Stadium,甘井子区,China,stadium,"大连体育中心体育场, 岭西路, 南关岭街道, 甘井子区, 大连市, 辽宁省, 中国",39.0204676,121.5616264,"https://www.google.com/maps?q=39.0204676,121.5616264",80000,80000,"[""concerts"",""sports""]",[],[],true,http://www.dlsportscenter.com/,,,,"[""https://en.wikipedia.org/wiki/Dalian_Sports_Centre_Stadium"",""https://www.wikidata.org/wiki/Q5210935"",""https://www.wikidata.org/wiki/Q5210935#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Dalian+Sports+Centre+Stadium%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q5210935#P856"",""https://www.eventbrite.com/d/china/Dalian+Sports+Centre+Stadium+%E7%94%98%E4%BA%95%E5%AD%90%E5%8C%BA+China"",""https://www.ticketmaster.com/search?q=Dalian+Sports+Centre+Stadium+%E7%94%98%E4%BA%95%E5%AD%90%E5%8C%BA+China""]"
Guangzhou International Sports Arena,黄埔区,China,arena,"广州宝能观致文化中心, 香雪大道东, 萝岗街道, 黄埔区, 广州市, 广东省, 510530, 中国",23.1797538,113.478227,"https://www.google.com/maps?q=23.1797538,113.478227",18000,18000,"[""concerts"",""esports"",""sports""]",[],[],true,http://www.bisacn.com/busRental.html,,,,"[""https://en.wikipedia.org/wiki/Guangzhou_International_Sports_Arena"",""https://www.wikidata.org/wiki/Q5613733"",""https://www.wikidata.org/wiki/Q5613733#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Guangzhou+International+Sports+Arena%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q5613733#P856"",""https://www.eventbrite.com/d/china/Guangzhou+International+Sports+Arena+%E9%BB%84%E5%9F%94%E5%8C%BA+China"",""https://www.ticketmaster.com/search?q=Guangzhou+International+Sports+Arena+%E9%BB%84%E5%9F%94%E5%8C%BA+China""]"
Kunshan Sports Centre Stadium,昆山市,China,stadium,"昆山体育中心体育场, 共青路, 高新区, 玉山镇, 昆山市, 苏州市, 江苏省, 215316, 中国",31.3861931,120.905179,"https://www.google.com/maps?q=31.3861931,120.905179",30000,30000,"[""concerts"",""sports""]",[],[],true,http://www.kstyzx.com.cn/,,,,"[""https://en.wikipedia.org/wiki/Kunshan_Sports_Centre_Stadium"",""https://www.wikidata.org/wiki/Q15240803"",""https://www.wikidata.org/wiki/Q15240803#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Kunshan+Sports+Centre+Stadium%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q15240803#P856"",""https://www.eventbrite.com/d/china/Kunshan+Sports+Centre+Stadium+%E6%98%86%E5%B1%B1%E5%B8%82+China"",""https://www.ticketmaster.com/search?q=Kunshan+Sports+Centre+Stadium+%E6%98%86%E5%B1%B1%E5%B8%82+China""]"
Venetian Arena,澳門 Macau,China,arena,"威尼斯人綜藝館 The Venetian Arena, 新城大馬路 Avenida Cidade Nova, 聖母灣 Baía de Nossa Senhora da Esperança, 澳門 Macau, 路氹填海區 Zona do Aterro de Cotai, 澳門 Macau, 999078, 中国",22.1476526,113.559014,"https://www.google.com/maps?q=22.1476526,113.559014",15000,15000,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.venetianmacao.com/entertainment/show-venues/cotai-arena.html,,,,"[""https://en.wikipedia.org/wiki/Venetian_Arena"",""https://www.wikidata.org/wiki/Q5175282"",""https://www.wikidata.org/wiki/Q5175282#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Venetian+Arena%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q5175282#P856"",""https://www.eventbrite.com/d/china/Venetian+Arena+%E6%BE%B3%E9%96%80+Macau+China"",""https://www.ticketmaster.com/search?q=Venetian+Arena+%E6%BE%B3%E9%96%80+Macau+China""]"
Wukesong Arena,海淀区,China,stadium,"凯迪拉克中心, 69号, 复兴路, 万寿路街道, 海淀区, 北京市, 100141, 中国",39.9098722,116.2747452,"https://www.google.com/maps?q=39.9098722,116.2747452",18000,18000,"[""concerts"",""sports""]",[],[],true,http://wks.arena.bloomagelive.com/,,,,"[""https://en.wikipedia.org/wiki/Wukesong_Arena"",""https://www.wikidata.org/wiki/Q1321458"",""https://www.wikidata.org/wiki/Q1321458#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Wukesong+Arena%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1321458#P856"",""https://www.eventbrite.com/d/china/Wukesong+Arena+%E6%B5%B7%E6%B7%80%E5%8C%BA+China"",""https://www.ticketmaster.com/search?q=Wukesong+Arena+%E6%B5%B7%E6%B7%80%E5%8C%BA+China""]"
Hong Kong Cultural Centre,香港 Hong Kong,China,music venue,"香港文化中心 Hong Kong Cultural Centre, 梳士巴利道 Salisbury Road, 尖沙咀 Tsim Sha Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, 999077, 中国",22.2937215,114.1704594,"https://www.google.com/maps?q=22.2937215,114.1704594",,,"[""concerts"",""cultural events""]",[],[],true,http://www.lcsd.gov.hk/en/hkcc/hiringinformation/bookingarrangements.html,,,official_site_links={'contact_url': 'http://www.lcsd.gov.hk/en/hkcc/contactus.html'},"[""https://en.wikipedia.org/wiki/Hong_Kong_Cultural_Centre"",""https://www.wikidata.org/wiki/Q598086"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Hong+Kong+Cultural+Centre%2C+China&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q598086#P856"",""http://www.lcsd.gov.hk/en/hkcc/contactus.html"",""http://www.lcsd.gov.hk/en/hkcc/hiringinformation/bookingarrangements.html"",""https://www.eventbrite.com/d/china/Hong+Kong+Cultural+Centre+%E9%A6%99%E6%B8%AF+Hong+Kong+China"",""https://www.ticketmaster.com/search?q=Hong+Kong+Cultural+Centre+%E9%A6%99%E6%B8%AF+Hong+Kong+China""]"
