venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Arena AufSchalke,Gelsenkirchen,Germany,stadium,"VELTINS-Arena, 1, Rudi-Assauer-Platz, Erle-Berger Feld, Erle, Gelsenkirchen-Ost, Gelsenkirchen, Nordrhein-Westfalen, 45891, Deutschland",51.5545938,7.0676001,"https://www.google.com/maps?q=51.5545938,7.0676001",62271,62271,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/VELTINSArena/,,,official_site_links={'events_url': 'https://veltins-arena.de/events/'},"[""https://en.wikipedia.org/wiki/Arena_AufSchalke"",""https://www.wikidata.org/wiki/Q150961"",""https://www.wikidata.org/wiki/Q150961#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Arena+AufSchalke%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q150961#P856"",""https://veltins-arena.de/events/"",""https://www.facebook.com/VELTINSArena/"",""https://www.eventbrite.com/d/germany/Arena+AufSchalke+Gelsenkirchen+Germany"",""https://www.ticketmaster.com/search?q=Arena+AufSchalke+Gelsenkirchen+Germany""]"
Arena Leipzig,Leipzig,Germany,arena,"Red Bull Arena, Am Sportforum, Zentrum-Nordwest, Mitte, Leipzig, Sachsen, 04105, Deutschland",51.3457079,12.3482361,"https://www.google.com/maps?q=51.3457079,12.3482361",12000,12000,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/QUARTERBACKImmobilienARENA/,,,official_site_links={'events_url': 'https://www.quarterback-immobilien-arena.de/events-tickets/events'},"[""https://en.wikipedia.org/wiki/Arena_Leipzig"",""https://www.wikidata.org/wiki/Q316575"",""https://www.wikidata.org/wiki/Q316575#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Arena+Leipzig%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q316575#P856"",""https://www.quarterback-immobilien-arena.de/events-tickets/events"",""https://www.facebook.com/QUARTERBACKImmobilienARENA/"",""https://www.eventbrite.com/d/germany/Arena+Leipzig+Leipzig+Germany"",""https://www.ticketmaster.com/search?q=Arena+Leipzig+Leipzig+Germany""]"
Barclays Arena,Hamburg,Germany,arena,"Barclays Arena, 10, Uwe-Seeler-Allee, Bahrenfeld, Altona, Hamburg, 22525, Deutschland",53.5894001,9.8991078,"https://www.google.com/maps?q=53.5894001,9.8991078",15000,15000,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/BarclaysArenaHH,,,official_site_links={'events_url': 'https://www.barclays-arena.de/events/ticketinfos'},"[""https://en.wikipedia.org/wiki/Barclays_Arena"",""https://www.wikidata.org/wiki/Q265107"",""https://www.wikidata.org/wiki/Q265107#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Barclays+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q265107#P856"",""https://www.barclays-arena.de/events/ticketinfos"",""https://www.facebook.com/BarclaysArenaHH"",""https://www.eventbrite.com/d/germany/Barclays+Arena+Hamburg+Germany"",""https://www.ticketmaster.com/search?q=Barclays+Arena+Hamburg+Germany""]"
Brose Arena,Bamberg,Germany,arena,"Brose Arena, 15, Forchheimer Straße, Gereuth, Bamberg, Bayern, 96050, Deutschland",49.8795151,10.9202866,"https://www.google.com/maps?q=49.8795151,10.9202866",6800,6800,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/brosearena,,,official_site_links={'events_url': 'https://brose-arena.de/events/'},"[""https://en.wikipedia.org/wiki/Brose_Arena"",""https://www.wikidata.org/wiki/Q567566"",""https://www.wikidata.org/wiki/Q567566#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Brose+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q567566#P856"",""https://brose-arena.de/events/"",""https://www.facebook.com/brosearena"",""https://www.eventbrite.com/d/germany/Brose+Arena+Bamberg+Germany"",""https://www.ticketmaster.com/search?q=Brose+Arena+Bamberg+Germany""]"
Eintracht-Stadion,Braunschweig,Germany,stadium,"Eintracht-Stadion, Südstrasse, Volkswagen AG, Siegfriedviertel, Nordstadt-Schunteraue, Braunschweig, Niedersachsen, 38106, Deutschland",52.2901014,10.5214686,"https://www.google.com/maps?q=52.2901014,10.5214686",24406,24406,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/eintrachtstadion/,,,official_site_links={'events_url': 'https://eintracht-stadion.com/de/veranstalter/veranstaltungsformate/business-events'},"[""https://en.wikipedia.org/wiki/Eintracht-Stadion"",""https://www.wikidata.org/wiki/Q662597"",""https://www.wikidata.org/wiki/Q662597#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Eintracht-Stadion%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q662597#P856"",""https://eintracht-stadion.com/de/veranstalter/veranstaltungsformate/business-events"",""https://www.facebook.com/eintrachtstadion/"",""https://www.eventbrite.com/d/germany/Eintracht-Stadion+Braunschweig+Germany"",""https://www.ticketmaster.com/search?q=Eintracht-Stadion+Braunschweig+Germany""]"
Festhalle Frankfurt,Frankfurt am Main,Germany,arena,"Festhalle, 1, Ludwig-Erhard-Anlage, Westend Süd, Innenstadt 2, Frankfurt am Main, Hessen, 60327, Deutschland",50.1118463,8.6508513,"https://www.google.com/maps?q=50.1118463,8.6508513",13500,13500,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/sharer/sharer.php?u=_currentPageUrl_&hashtag#festhallefrankfurt,,,"official_site_links={'contact_url': 'https://festhalle.messefrankfurt.com/frankfurt/en/contact.html', 'events_url': 'https://festhalle.messefrankfurt.com/frankfurt/en/event-calendar.html'}","[""https://en.wikipedia.org/wiki/Festhalle_Frankfurt"",""https://www.wikidata.org/wiki/Q59518"",""https://www.wikidata.org/wiki/Q59518#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Festhalle+Frankfurt%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q59518#P856"",""https://festhalle.messefrankfurt.com/frankfurt/en/contact.html"",""https://festhalle.messefrankfurt.com/frankfurt/en/event-calendar.html"",""https://www.facebook.com/sharer/sharer.php?u=_currentPageUrl_&hashtag#festhallefrankfurt"",""https://www.eventbrite.com/d/germany/Festhalle+Frankfurt+Frankfurt+am+Main+Germany"",""https://www.ticketmaster.com/search?q=Festhalle+Frankfurt+Frankfurt+am+Main+Germany""]"
Friedrich-Ebert-Halle,Ludwigshafen am Rhein,Germany,arena,"Friedrich-Ebert-Halle, 89, Erzbergerstraße, Ludwigshafen-Friesenheim, Ludwigshafen am Rhein, Rheinland-Pfalz, 67063, Deutschland",49.4914148,8.4129221,"https://www.google.com/maps?q=49.4914148,8.4129221",2250,2250,"[""concerts"",""esports"",""sports""]",[],[],true,https://publuu.com/flip-book/588572/1843647/page/1?embed,,,official_site_links={'events_url': 'https://lukom.com/events/'},"[""https://en.wikipedia.org/wiki/Friedrich-Ebert-Halle"",""https://www.wikidata.org/wiki/Q929868"",""https://www.wikidata.org/wiki/Q929868#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Friedrich-Ebert-Halle%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q929868#P856"",""https://lukom.com/events/"",""https://publuu.com/flip-book/588572/1843647/page/1?embed"",""https://www.eventbrite.com/d/germany/Friedrich-Ebert-Halle+Ludwigshafen+am+Rhein+Germany"",""https://www.ticketmaster.com/search?q=Friedrich-Ebert-Halle+Ludwigshafen+am+Rhein+Germany""]"
GP Joule Arena,Flensburg,Germany,arena,"GP JOULE Arena, 2, Campusallee, Sünderup-West, Sandberg, Flensburg, Schleswig-Holstein, 24943, Deutschland",54.7734782,9.4527215,"https://www.google.com/maps?q=54.7734782,9.4527215",6500,6500,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/FlensArena/,,,official_site_links={'events_url': 'https://www.events-flensburg.de/anreise-und-aufenthalt/#tickets'},"[""https://en.wikipedia.org/wiki/GP_Joule_Arena"",""https://www.wikidata.org/wiki/Q317391"",""https://www.wikidata.org/wiki/Q317391#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=GP+Joule+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q317391#P856"",""https://www.events-flensburg.de/anreise-und-aufenthalt/#tickets"",""https://www.facebook.com/FlensArena/"",""https://www.eventbrite.com/d/germany/GP+Joule+Arena+Flensburg+Germany"",""https://www.ticketmaster.com/search?q=GP+Joule+Arena+Flensburg+Germany""]"
Lanxess Arena,Köln,Germany,stadium,"LANXESS arena, Willy-Brandt-Platz, Deutz, Innenstadt, Köln, Nordrhein-Westfalen, 50679, Deutschland",50.9384967,6.9828844,"https://www.google.com/maps?q=50.9384967,6.9828844",20000,20000,"[""concerts"",""sports""]",[],[],true,https://de-de.facebook.com/LANXESSarena/,,,official_site_links={'events_url': 'https://www.lanxess-arena.de/events-tickets/newsletter'},"[""https://en.wikipedia.org/wiki/Lanxess_Arena"",""https://www.wikidata.org/wiki/Q310525"",""https://www.wikidata.org/wiki/Q310525#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Lanxess+Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q310525#P856"",""https://www.lanxess-arena.de/events-tickets/newsletter"",""https://de-de.facebook.com/LANXESSarena/"",""https://www.eventbrite.com/d/germany/Lanxess+Arena+K%C3%B6ln+Germany"",""https://www.ticketmaster.com/search?q=Lanxess+Arena+K%C3%B6ln+Germany""]"
Lipperlandhalle,Lemgo,Germany,arena,"Lipperlandhalle, Bunsenstraße, Lemgo, Kreis Lippe, Nordrhein-Westfalen, 32657, Deutschland",52.0159134,8.9074254,"https://www.google.com/maps?q=52.0159134,8.9074254",5000,5000,"[""concerts"",""esports"",""sports""]",[],[],true,http://www.lipperlandhalle.de/,,,"official_site_links={'contact_url': 'https://www.eventim.de/event/ralf-schmitz-schmitzfindigkeiten-phoenix-contact-arena-19793013/', 'events_url': 'https://www.infinityevents.de/'}","[""https://en.wikipedia.org/wiki/Lipperlandhalle"",""https://www.wikidata.org/wiki/Q1783138"",""https://www.wikidata.org/wiki/Q1783138#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Lipperlandhalle%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1783138#P856"",""https://www.eventim.de/event/ralf-schmitz-schmitzfindigkeiten-phoenix-contact-arena-19793013/"",""https://www.infinityevents.de/"",""http://www.lipperlandhalle.de/"",""https://www.eventbrite.com/d/germany/Lipperlandhalle+Lemgo+Germany"",""https://www.ticketmaster.com/search?q=Lipperlandhalle+Lemgo+Germany""]"
