venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
"Garrison Ground, Shillong",Shillong,India,stadium,"Garrison Ground, NH6, Survey of India, Laban, Shillong, Mylliem, East Khasi Hills, Meghalaya, 793001, India",25.5681671,91.8786927,"https://www.google.com/maps?q=25.5681671,91.8786927",5000,5000,"[""concerts"",""sports""]",[],[],true,https://cricketarchive.com/Archive/PrintMaterial/Berkshire/index.html,,,"official_site_links={'contact_url': 'https://cricketarchive.com/Miscellaneous/Contact_Us.html', 'events_url': 'https://cricketarchive.com/Archive/Seasons/Current_Events.html'}","[""https://en.wikipedia.org/wiki/Garrison_Ground,_Shillong"",""https://www.wikidata.org/wiki/Q23023765"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q23023765#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Garrison+Ground%2C+Shillong%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q23023765#P856"",""https://cricketarchive.com/Miscellaneous/Contact_Us.html"",""https://cricketarchive.com/Archive/Seasons/Current_Events.html"",""https://cricketarchive.com/Archive/PrintMaterial/Berkshire/index.html"",""https://www.eventbrite.com/d/india/Garrison+Ground%2C+Shillong+Shillong+India"",""https://www.ticketmaster.com/search?q=Garrison+Ground%2C+Shillong+Shillong+India"",""https://in.bookmyshow.com/explore/events-Shillong?search=Garrison Ground, Shillong"",""https://insider.in/search?q=Garrison Ground, Shillong""]"
Narendra Modi Stadium,Asarva Taluka,India,stadium,"Narendra Modi Stadium, Motera Stadium Entry Road, Sabarmati, Asarva Taluka, Ahmedabad, Gujarat, 380005, India",23.0917717,72.5973345,"https://www.google.com/maps?q=23.0917717,72.5973345",132000,132000,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/GCAMotera/,,,official_site_links={'contact_url': 'https://gujaratcricketassociation.com/contact-us/'},"[""https://en.wikipedia.org/wiki/Narendra_Modi_Stadium"",""https://www.wikidata.org/wiki/Q3531421"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q3531421#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Narendra+Modi+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3531421#P856"",""https://gujaratcricketassociation.com/contact-us/"",""https://www.facebook.com/GCAMotera/"",""https://www.eventbrite.com/d/india/Narendra+Modi+Stadium+Asarva+Taluka+India"",""https://www.ticketmaster.com/search?q=Narendra+Modi+Stadium+Asarva+Taluka+India"",""https://in.bookmyshow.com/explore/events-Asarva Taluka?search=Narendra Modi Stadium"",""https://insider.in/search?q=Narendra Modi Stadium""]"
Balbir Singh Juneja Indoor Stadium,Raipur,India,arena,"Balbir Singh Juneja Indoor Stadium, Kankali Para Road, Raipur, Raipur Tahsil, Raipur, Chhattisgarh, 493332, India",21.2352271,81.6299732,"https://www.google.com/maps?q=21.2352271,81.6299732",4000,4000,"[""concerts"",""esports"",""sports""]",[],[],true,http://www.cgolympic.org/Default,,,,"[""https://en.wikipedia.org/wiki/Balbir_Singh_Juneja_Indoor_Stadium"",""https://www.wikidata.org/wiki/Q24942149"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q24942149#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Balbir+Singh+Juneja+Indoor+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q24942149#P856"",""https://www.eventbrite.com/d/india/Balbir+Singh+Juneja+Indoor+Stadium+Raipur+India"",""https://www.ticketmaster.com/search?q=Balbir+Singh+Juneja+Indoor+Stadium+Raipur+India"",""https://in.bookmyshow.com/explore/events-Raipur?search=Balbir Singh Juneja Indoor Stadium"",""https://insider.in/search?q=Balbir Singh Juneja Indoor Stadium""]"
Indira Gandhi Arena,Delhi,India,arena,"Indira Gandhi Arena, ITO Flyover Ramp, Kotwali Tehsil, Central Delhi, Delhi, 110002, India",28.6311624,77.2495544,"https://www.google.com/maps?q=28.6311624,77.2495544",14348,14348,"[""concerts"",""esports"",""sports""]",[],[],true,http://delhigovt.nic.in/ground.asp#arc6,,,,"[""https://en.wikipedia.org/wiki/Indira_Gandhi_Arena"",""https://www.wikidata.org/wiki/Q3269725"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q3269725#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Indira+Gandhi+Arena%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3269725#P856"",""https://www.eventbrite.com/d/india/Indira+Gandhi+Arena+Delhi+India"",""https://www.ticketmaster.com/search?q=Indira+Gandhi+Arena+Delhi+India"",""https://in.bookmyshow.com/explore/events-Delhi?search=Indira Gandhi Arena"",""https://insider.in/search?q=Indira Gandhi Arena""]"
EKA Arena,Maninagar Taluka,India,stadium,"EKA Arena (The Arena/TransStadia Arena), Kankaria Road, Gita Mandir, Sherkotda, Maninagar Taluka, Ahmedabad, Gujarat, 380002, India",23.0105685,72.5993421,"https://www.google.com/maps?q=23.0105685,72.5993421",,,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/transstadiaco/,,,official_site_links={'contact_url': 'https://transstadia.com/contact-us/'},"[""https://en.wikipedia.org/wiki/EKA_Arena"",""https://www.wikidata.org/wiki/Q28179260"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=EKA+Arena%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q28179260#P856"",""https://transstadia.com/contact-us/"",""https://www.facebook.com/transstadiaco/"",""https://www.eventbrite.com/d/india/EKA+Arena+Maninagar+Taluka+India"",""https://www.ticketmaster.com/search?q=EKA+Arena+Maninagar+Taluka+India"",""https://in.bookmyshow.com/explore/events-Maninagar Taluka?search=EKA Arena"",""https://insider.in/search?q=EKA Arena""]"
Bakshi Stadium,Srinagar,India,stadium,"Bakshi Stadium, Rambagh Flyover Ramp, Jawahar Nagar, Srinagar, Jammu and Kashmir, 190008, India",34.0632055,74.8049022,"https://www.google.com/maps?q=34.0632055,74.8049022",30000,30000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Bakshi_Stadium"",""https://www.wikidata.org/wiki/Q16252918"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q16252918#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bakshi+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Bakshi+Stadium+Srinagar+India"",""https://www.ticketmaster.com/search?q=Bakshi+Stadium+Srinagar+India"",""https://in.bookmyshow.com/explore/events-Srinagar?search=Bakshi Stadium"",""https://insider.in/search?q=Bakshi Stadium""]"
Birsa Munda Athletics Stadium,Ranchi,India,stadium,"Birsa Munda Athletics Stadium, NH33, Mahuramtoli, Gāri, Ranchi, Kanke, Ranchi, Jharkhand, 834009, India",23.3774982,85.3876744,"https://www.google.com/maps?q=23.3774982,85.3876744",35000,35000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Birsa_Munda_Athletics_Stadium"",""https://www.wikidata.org/wiki/Q4916967"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q4916967#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Birsa+Munda+Athletics+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Birsa+Munda+Athletics+Stadium+Ranchi+India"",""https://www.ticketmaster.com/search?q=Birsa+Munda+Athletics+Stadium+Ranchi+India"",""https://in.bookmyshow.com/explore/events-Ranchi?search=Birsa Munda Athletics Stadium"",""https://insider.in/search?q=Birsa Munda Athletics Stadium""]"
Duler Stadium,Mapusa,India,stadium,"Duler Football Stadium, Duler Ground Road, Alto Dhuler, Duler, Mapusa, Bardez, North Goa, Goa, 403507, India",15.5986435,73.8161086,"https://www.google.com/maps?q=15.5986435,73.8161086",10000,10000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Duler_Stadium"",""https://www.wikidata.org/wiki/Q5313386"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q5313386#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Duler+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Duler+Stadium+Mapusa+India"",""https://www.ticketmaster.com/search?q=Duler+Stadium+Mapusa+India"",""https://in.bookmyshow.com/explore/events-Mapusa?search=Duler Stadium"",""https://insider.in/search?q=Duler Stadium""]"
DY Patil Stadium,Navi Mumbai,India,,"DY Patil Stadium, Sion-Panvel Highway, Nerul East, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400614, India",19.0435531,73.0278494,"https://www.google.com/maps?q=19.0435531,73.0278494",45300,45300,[],[],[],true,http://www.dypsa.in/,,,,"[""https://en.wikipedia.org/wiki/DY_Patil_Stadium"",""https://www.wikidata.org/wiki/Q1156264"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q1156264#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=DY+Patil+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1156264#P856"",""https://www.eventbrite.com/d/india/DY+Patil+Stadium+Navi+Mumbai+India"",""https://www.ticketmaster.com/search?q=DY+Patil+Stadium+Navi+Mumbai+India"",""https://in.bookmyshow.com/explore/events-Navi Mumbai?search=DY Patil Stadium"",""https://insider.in/search?q=DY Patil Stadium""]"
East Bengal Ground,Kolkata,India,stadium,"East Bengal Ground, Indira Gandhi Sarani, Esplanade, Kolkata, Kolkata Metropolitan Area, Kolkata, West Bengal, 700001, India",22.5589771,88.3437985,"https://www.google.com/maps?q=22.5589771,88.3437985",23500,23500,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/East_Bengal_Ground"",""https://www.wikidata.org/wiki/Q2408126"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q2408126#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=East+Bengal+Ground%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/East+Bengal+Ground+Kolkata+India"",""https://www.ticketmaster.com/search?q=East+Bengal+Ground+Kolkata+India"",""https://in.bookmyshow.com/explore/events-Kolkata?search=East Bengal Ground"",""https://insider.in/search?q=East Bengal Ground""]"
