venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Aichi International Arena,名古屋市,Japan,arena,"IGアリーナ, 名城一丁目, 北区, 名古屋市, 愛知県, 451-0031, 日本",35.1904454,136.9026725,"https://www.google.com/maps?q=35.1904454,136.9026725",17000,17000,"[""concerts"",""esports"",""sports""]",[],[],true,https://ig-arena.jp/,,,"official_site_links={'contact_url': 'https://ig-arena.jp/faq#contact', 'events_url': 'https://ig-arena.jp/events/'}","[""https://en.wikipedia.org/wiki/Aichi_International_Arena"",""https://www.wikidata.org/wiki/Q124460245"",""https://www.wikidata.org/wiki/Q124460245#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Aichi+International+Arena%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q124460245#P856"",""https://ig-arena.jp/faq#contact"",""https://ig-arena.jp/events/"",""https://ig-arena.jp/"",""https://www.eventbrite.com/d/japan/Aichi+International+Arena+%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Aichi+International+Arena+%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82+Japan""]"
Aqua Dome Kumamoto,熊本市,Japan,arena,"アクアドームくまもと, 熊本港線, 薄場町, 南区, 熊本市, 熊本県, 860-8601, 日本",32.7633671,130.6678567,"https://www.google.com/maps?q=32.7633671,130.6678567",6400,6400,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.betus.com.pa/sportsbook/,,,official_site_links={'contact_url': 'https://kc-sks.com/contact/'},"[""https://en.wikipedia.org/wiki/Aqua_Dome_Kumamoto"",""https://www.wikidata.org/wiki/Q11282829"",""https://www.wikidata.org/wiki/Q11282829#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Aqua+Dome+Kumamoto%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q11282829#P856"",""https://kc-sks.com/contact/"",""https://www.betus.com.pa/sportsbook/"",""https://www.eventbrite.com/d/japan/Aqua+Dome+Kumamoto+%E7%86%8A%E6%9C%AC%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Aqua+Dome+Kumamoto+%E7%86%8A%E6%9C%AC%E5%B8%82+Japan""]"
Ariake Coliseum,江東区,Japan,arena,"有明コロシアム, 環二通り, 有明二丁目, 有明, 江東区, 東京都, 135-0063, 日本",35.6364632,139.7901005,"https://www.google.com/maps?q=35.6364632,139.7901005",10000,10000,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.tptc.co.jp/park/02_03/colosseum/04,,,official_site_links={'contact_url': 'https://www.tptc.co.jp/support/contact/park'},"[""https://en.wikipedia.org/wiki/Ariake_Coliseum"",""https://www.wikidata.org/wiki/Q3299452"",""https://www.wikidata.org/wiki/Q3299452#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Ariake+Coliseum%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3299452#P856"",""https://www.tptc.co.jp/support/contact/park"",""https://www.tptc.co.jp/park/02_03/colosseum/04"",""https://www.eventbrite.com/d/japan/Ariake+Coliseum+%E6%B1%9F%E6%9D%B1%E5%8C%BA+Japan"",""https://www.ticketmaster.com/search?q=Ariake+Coliseum+%E6%B1%9F%E6%9D%B1%E5%8C%BA+Japan""]"
BC Place,Courtenay,Japan,stadium,"Domo Japan Grill & Sushi, Royal Place, Crown Isle, Courtenay, Comox Valley Regional District, British Columbia, V9N 0A6, Canada",49.7091956,-124.9626949,"https://www.google.com/maps?q=49.7091956,-124.9626949",54500,54500,"[""concerts"",""sports""]",[],[],true,http://www.facebook.com/pages/BC-Place/123047921054761,,,"official_site_links={'contact_url': 'https://www.bcplace.com/contact/', 'events_url': 'https://www.bcplace.com/event-calendar/'}","[""https://en.wikipedia.org/wiki/BC_Place"",""https://www.wikidata.org/wiki/Q612227"",""https://www.wikidata.org/wiki/Q612227#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=BC+Place%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q612227#P856"",""https://www.bcplace.com/contact/"",""https://www.bcplace.com/event-calendar/"",""http://www.facebook.com/pages/BC-Place/123047921054761"",""https://www.eventbrite.com/d/japan/BC+Place+Courtenay+Japan"",""https://www.ticketmaster.com/search?q=BC+Place+Courtenay+Japan""]"
Bridgestone Arena,久留米市,Japan,arena,"ブリヂストンスポーツアリーナ久留米, けやき通り, 篠山町, 久留米市, 福岡県, 830-0011, 日本",33.3242968,130.5102013,"https://www.google.com/maps?q=33.3242968,130.5102013",19395,19395,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.bridgestonearena.com/arena-info/book-bridgestone-arena,,,"official_site_links={'contact_url': 'https://www.bridgestonearena.com/premium-seating/contact-premium-sales', 'events_url': 'https://www.bridgestonearena.com/events/calendar'}","[""https://en.wikipedia.org/wiki/Bridgestone_Arena"",""https://www.wikidata.org/wiki/Q302869"",""https://www.wikidata.org/wiki/Q302869#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bridgestone+Arena%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q302869#P856"",""https://www.bridgestonearena.com/premium-seating/contact-premium-sales"",""https://www.bridgestonearena.com/events/calendar"",""https://www.bridgestonearena.com/arena-info/book-bridgestone-arena"",""https://www.eventbrite.com/d/japan/Bridgestone+Arena+%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Bridgestone+Arena+%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82+Japan""]"
Crasus Dome Oita,大分市,Japan,stadium,"大分スポーツ公園総合競技場, 東九州自動車道, 公園通り西二丁目, 大分市, 大分県, 870-0162, 日本",33.2007824,131.6574852,"https://www.google.com/maps?q=33.2007824,131.6574852",40000,40000,"[""concerts"",""sports""]",[],[],true,https://www.oita-sportspark.jp/facility/dome,,,official_site_links={'contact_url': 'https://www.oita-sportspark.jp/contact/'},"[""https://en.wikipedia.org/wiki/Crasus_Dome_Oita"",""https://www.wikidata.org/wiki/Q482581"",""https://www.wikidata.org/wiki/Q482581#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Crasus+Dome+Oita%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q482581#P856"",""https://www.oita-sportspark.jp/contact/"",""https://www.oita-sportspark.jp/facility/dome"",""https://www.eventbrite.com/d/japan/Crasus+Dome+Oita+%E5%A4%A7%E5%88%86%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Crasus+Dome+Oita+%E5%A4%A7%E5%88%86%E5%B8%82+Japan""]"
Denka Big Swan Stadium,新潟市,Japan,stadium,"デンカビッグスワンスタジアム, 曽野木一日市線, 清五郎, 中央区, 新潟市, 新潟県, 950-0932, 日本",37.882576,139.0591584,"https://www.google.com/maps?q=37.882576,139.0591584",42300,42300,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/bigswan.niigata/,,,official_site_links={'contact_url': 'https://www.niigata-sportspark.jp/contact/'},"[""https://en.wikipedia.org/wiki/Denka_Big_Swan_Stadium"",""https://www.wikidata.org/wiki/Q494749"",""https://www.wikidata.org/wiki/Q494749#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Denka+Big+Swan+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q494749#P856"",""https://www.niigata-sportspark.jp/contact/"",""https://www.facebook.com/bigswan.niigata/"",""https://www.eventbrite.com/d/japan/Denka+Big+Swan+Stadium+%E6%96%B0%E6%BD%9F%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Denka+Big+Swan+Stadium+%E6%96%B0%E6%BD%9F%E5%B8%82+Japan""]"
Eden Park,京都市,Japan,stadium,"ウエスト パーク エデン, 静市市原町, 左京区, 京都市, 京都府, 日本",35.078206,135.7567393,"https://www.google.com/maps?q=35.078206,135.7567393",50000,50000,"[""concerts"",""sports""]",[],[],true,https://edenpark.co.nz/venue-hire/,,,"official_site_links={'contact_url': 'https://edenpark.co.nz/contact/', 'events_url': 'https://edenpark.co.nz/events/'}","[""https://en.wikipedia.org/wiki/Eden_Park"",""https://www.wikidata.org/wiki/Q312411"",""https://www.wikidata.org/wiki/Q312411#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Eden+Park%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q312411#P856"",""https://edenpark.co.nz/contact/"",""https://edenpark.co.nz/events/"",""https://edenpark.co.nz/venue-hire/"",""https://www.eventbrite.com/d/japan/Eden+Park+%E4%BA%AC%E9%83%BD%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Eden+Park+%E4%BA%AC%E9%83%BD%E5%B8%82+Japan""]"
Expo '70 Commemorative Stadium,吹田市,Japan,stadium,"万博記念競技場, 名神高速道路, 小坪井, 吹田市, 大阪府, 567-0041, 日本",34.810305,135.5426978,"https://www.google.com/maps?q=34.810305,135.5426978",21000,21000,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/expo70park,,,official_site_links={'events_url': 'https://www.expo70-park.jp/events/'},"[""https://en.wikipedia.org/wiki/Expo_'70_Commemorative_Stadium"",""https://www.wikidata.org/wiki/Q620239"",""https://www.wikidata.org/wiki/Q620239#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Expo+%2770+Commemorative+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q620239#P856"",""https://www.expo70-park.jp/events/"",""https://www.facebook.com/expo70park"",""https://www.eventbrite.com/d/japan/Expo+%2770+Commemorative+Stadium+%E5%90%B9%E7%94%B0%E5%B8%82+Japan"",""https://www.ticketmaster.com/search?q=Expo+%2770+Commemorative+Stadium+%E5%90%B9%E7%94%B0%E5%B8%82+Japan""]"
J-Village Stadium,広野町,Japan,stadium,"Jヴィレッジスタジアム, 広野小高線, 広洋台一丁目, 広野町, 双葉郡, 福島県, 979-0402, 日本",37.2387959,141.0032134,"https://www.google.com/maps?q=37.2387959,141.0032134",5413,5413,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/J%E3%83%B4%E3%82%A3%E3%83%AC%E3%83%83%E3%82%B8-462526820476322/,,,official_site_links={'contact_url': 'https://j-village.jp/contact/'},"[""https://en.wikipedia.org/wiki/J-Village_Stadium"",""https://www.wikidata.org/wiki/Q111539361"",""https://www.wikidata.org/wiki/Q111539361#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=J-Village+Stadium%2C+Japan&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q111539361#P856"",""https://j-village.jp/contact/"",""https://www.facebook.com/J%E3%83%B4%E3%82%A3%E3%83%AC%E3%83%83%E3%82%B8-462526820476322/"",""https://www.eventbrite.com/d/japan/J-Village+Stadium+%E5%BA%83%E9%87%8E%E7%94%BA+Japan"",""https://www.ticketmaster.com/search?q=J-Village+Stadium+%E5%BA%83%E9%87%8E%E7%94%BA+Japan""]"
