venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
AFAS Live,Amsterdam,Netherlands,music venue,"AFAS Live, 590, Johan Cruijff Boulevard, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1101 DS, Nederland",52.3122606,4.9442166,"https://www.google.com/maps?q=52.3122606,4.9442166",6000,6000,"[""concerts"",""cultural events""]",[],[],true,https://www.facebook.com/AFASLiveOfficial,,,official_site_links={'contact_url': 'https://www.afaslive.nl/contact'},"[""https://en.wikipedia.org/wiki/AFAS_Live"",""https://www.wikidata.org/wiki/Q619832"",""https://www.wikidata.org/wiki/Q619832#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=AFAS+Live%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q619832#P856"",""https://www.afaslive.nl/contact"",""https://www.facebook.com/AFASLiveOfficial"",""https://www.eventbrite.com/d/netherlands/AFAS+Live+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=AFAS+Live+Amsterdam+Netherlands""]"
GelreDome,Arnhem,Netherlands,stadium,"GelreDome, Elzenlaan, Kronenburg, Vredenburg/Kronenburg, Elden, Arnhem, Gelderland, Nederland, 6831 GM, Nederland",51.9626811,5.8928164,"https://www.google.com/maps?q=51.9626811,5.8928164",21000,21000,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/gelredome/,,,official_site_links={'contact_url': 'http://www.gelredome.nl/contact'},"[""https://en.wikipedia.org/wiki/GelreDome"",""https://www.wikidata.org/wiki/Q1067235"",""https://www.wikidata.org/wiki/Q1067235#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=GelreDome%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1067235#P856"",""http://www.gelredome.nl/contact"",""https://www.facebook.com/gelredome/"",""https://www.eventbrite.com/d/netherlands/GelreDome+Arnhem+Netherlands"",""https://www.ticketmaster.com/search?q=GelreDome+Arnhem+Netherlands""]"
Olympic Stadium (Amsterdam),Amsterdam,Netherlands,stadium,"Olympisch Stadion, Stadionbuurt, Oud-Zuid, Zuid, Amsterdam, Noord-Holland, Nederland, 1076 DE, Nederland",52.3434439,4.8540543,"https://www.google.com/maps?q=52.3434439,4.8540543",22288,22288,"[""concerts"",""sports""]",[],[],true,http://facebook.com/olympischstadion,,,official_site_links={'contact_url': 'https://www.olympischstadion.nl/contact/'},"[""https://en.wikipedia.org/wiki/Olympic_Stadium_(Amsterdam)"",""https://www.wikidata.org/wiki/Q503319"",""https://www.wikidata.org/wiki/Q503319#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Olympic+Stadium+%28Amsterdam%29%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q503319#P856"",""https://www.olympischstadion.nl/contact/"",""http://facebook.com/olympischstadion"",""https://www.eventbrite.com/d/netherlands/Olympic+Stadium+%28Amsterdam%29+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Olympic+Stadium+%28Amsterdam%29+Amsterdam+Netherlands""]"
Omnisport Apeldoorn,Apeldoorn,Netherlands,stadium,"Omnisport, Laan van Erica, De Voorwaarts, Oost, Apeldoorn, Gelderland, Nederland, 7325 BS, Nederland",52.2074215,5.9995993,"https://www.google.com/maps?q=52.2074215,5.9995993",5000,5000,"[""concerts"",""sports""]",[],[],true,https://omnisport.nl/referenties/,,,official_site_links={'contact_url': 'https://omnisport.nl/contact/'},"[""https://en.wikipedia.org/wiki/Omnisport_Apeldoorn"",""https://www.wikidata.org/wiki/Q1339395"",""https://www.wikidata.org/wiki/Q1339395#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Omnisport+Apeldoorn%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1339395#P856"",""https://omnisport.nl/contact/"",""https://omnisport.nl/referenties/"",""https://www.eventbrite.com/d/netherlands/Omnisport+Apeldoorn+Apeldoorn+Netherlands"",""https://www.ticketmaster.com/search?q=Omnisport+Apeldoorn+Apeldoorn+Netherlands""]"
Paradiso (Amsterdam),Amsterdam,Netherlands,music venue,"Paradiso, 6, Weteringschans, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 SG, Nederland",52.3621554,4.8837824,"https://www.google.com/maps?q=52.3621554,4.8837824",1500,1500,"[""concerts"",""cultural events""]",[],[],true,http://www.paradiso.nl/,,,official_site_links={'contact_url': 'http://www.paradiso.nl/contact'},"[""https://en.wikipedia.org/wiki/Paradiso_(Amsterdam)"",""https://www.wikidata.org/wiki/Q1535378"",""https://www.wikidata.org/wiki/Q1535378#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Paradiso+%28Amsterdam%29%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1535378#P856"",""http://www.paradiso.nl/contact"",""http://www.paradiso.nl/"",""https://www.eventbrite.com/d/netherlands/Paradiso+%28Amsterdam%29+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Paradiso+%28Amsterdam%29+Amsterdam+Netherlands""]"
Thialf,Heerenveen,Netherlands,arena,"Thialf, Heidemeer, Heerenveen, Fryslân, Nederland, 8445 SW, Nederland",52.9389776,5.9424166,"https://www.google.com/maps?q=52.9389776,5.9424166",12500,12500,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/thialfheerenveen/,,,"official_site_links={'contact_url': 'http://www.thialf.nl/zakelijk/vergaderen-events/contact', 'events_url': 'http://www.thialf.nl/zakelijk/vergaderen-events/contact'}","[""https://en.wikipedia.org/wiki/Thialf"",""https://www.wikidata.org/wiki/Q1371953"",""https://www.wikidata.org/wiki/Q1371953#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Thialf%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1371953#P856"",""http://www.thialf.nl/zakelijk/vergaderen-events/contact"",""http://www.thialf.nl/zakelijk/vergaderen-events/contact"",""https://www.facebook.com/thialfheerenveen/"",""https://www.eventbrite.com/d/netherlands/Thialf+Heerenveen+Netherlands"",""https://www.ticketmaster.com/search?q=Thialf+Heerenveen+Netherlands""]"
Melkweg,Amsterdam,Netherlands,music venue,"Melkweg, 234a, Lijnbaansgracht, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 PH, Nederland",52.3647777,4.8810734,"https://www.google.com/maps?q=52.3647777,4.8810734",1500,1500,"[""concerts"",""cultural events""]",[],[],true,https://www.facebook.com/melkwegamsterdam/,,,,"[""https://en.wikipedia.org/wiki/Melkweg"",""https://www.wikidata.org/wiki/Q60481"",""https://www.wikidata.org/wiki/Q60481#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Melkweg%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q60481#P856"",""https://www.eventbrite.com/d/netherlands/Melkweg+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Melkweg+Amsterdam+Netherlands""]"
Ziggo Dome,Amsterdam,Netherlands,arena,"Ziggo Dome, 100, De passage, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1101 AX, Nederland",52.3137527,4.937709,"https://www.google.com/maps?q=52.3137527,4.937709",17000,17000,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.ziggodome.nl/,,,,"[""https://en.wikipedia.org/wiki/Ziggo_Dome"",""https://www.wikidata.org/wiki/Q71922"",""https://www.wikidata.org/wiki/Q71922#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Ziggo+Dome%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q71922#P856"",""https://www.eventbrite.com/d/netherlands/Ziggo+Dome+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Ziggo+Dome+Amsterdam+Netherlands""]"
Concertgebouw de Vereeniging,Nijmegen,Netherlands,music venue,"Concertgebouw de Vereeniging, 2d, Keizer Karelplein, Stadscentrum, Nijmegen-Centrum, Nijmegen, Gelderland, Nederland, 6511 NC, Nederland",51.8412654,5.8611299,"https://www.google.com/maps?q=51.8412654,5.8611299",,,"[""concerts"",""cultural events""]",[],[],true,https://www.facebook.com/stadsschouwburgendeVereeniging/,,,official_site_links={'contact_url': 'https://www.stadsschouwburgendevereeniging.nl/pQEJCd/contact-en-colofon'},"[""https://en.wikipedia.org/wiki/Concertgebouw_de_Vereeniging"",""https://www.wikidata.org/wiki/Q2183522"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Concertgebouw+de+Vereeniging%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q2183522#P856"",""https://www.stadsschouwburgendevereeniging.nl/pQEJCd/contact-en-colofon"",""https://www.facebook.com/stadsschouwburgendeVereeniging/"",""https://www.eventbrite.com/d/netherlands/Concertgebouw+de+Vereeniging+Nijmegen+Netherlands"",""https://www.ticketmaster.com/search?q=Concertgebouw+de+Vereeniging+Nijmegen+Netherlands""]"
"Concertgebouw, Amsterdam",Amsterdam,Netherlands,music venue,"Concertgebouw, 2, Concertgebouwplein, Museumkwartier, Oud-Zuid, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 LN, Nederland",52.3561982,4.8790448,"https://www.google.com/maps?q=52.3561982,4.8790448",,,"[""concerts"",""cultural events""]",[],[],true,https://www.facebook.com/Concertgebouw,,,official_site_links={'contact_url': 'https://www.concertgebouw.nl/contact-het-concertgebouw-fonds'},"[""https://en.wikipedia.org/wiki/Concertgebouw,_Amsterdam"",""https://www.wikidata.org/wiki/Q849957"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Concertgebouw%2C+Amsterdam%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q849957#P856"",""https://www.concertgebouw.nl/contact-het-concertgebouw-fonds"",""https://www.facebook.com/Concertgebouw"",""https://www.eventbrite.com/d/netherlands/Concertgebouw%2C+Amsterdam+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Concertgebouw%2C+Amsterdam+Amsterdam+Netherlands""]"
