venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Centro Insular de Deportes,Las Palmas de Gran Canaria,Spain,arena,"Centro Insular de Deportes, Avenida Maritima, Arenales, Ciudad del Mar, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35004, España",28.1130559,-15.4175259,"https://www.google.com/maps?q=28.1130559,-15.4175259",5200,5200,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/centroinsulardedeportes/,,,official_site_links={'contact_url': 'https://centroinsulardedeportesgc.com/#contacto'},"[""https://en.wikipedia.org/wiki/Centro_Insular_de_Deportes"",""https://www.wikidata.org/wiki/Q3824173"",""https://www.wikidata.org/wiki/Q3824173#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Centro+Insular+de+Deportes%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3824173#P856"",""https://centroinsulardedeportesgc.com/#contacto"",""https://www.facebook.com/centroinsulardedeportes/"",""https://www.eventbrite.com/d/spain/Centro+Insular+de+Deportes+Las+Palmas+de+Gran+Canaria+Spain"",""https://www.ticketmaster.com/search?q=Centro+Insular+de+Deportes+Las+Palmas+de+Gran+Canaria+Spain""]"
Eden Park,Riudellots de la Selva,Spain,stadium,"Hotel Eden Park by Brava Hotels, Autopista de la Mediterrània, Veïnat de l'Hostalnou, Riudellots de la Selva, la Selva, Girona, Catalunya, 17457, España",41.897446,2.7763487,"https://www.google.com/maps?q=41.897446,2.7763487",50000,50000,"[""concerts"",""sports""]",[],[],true,https://edenpark.co.nz/venue-hire/,,,"official_site_links={'contact_url': 'https://edenpark.co.nz/contact/', 'events_url': 'https://edenpark.co.nz/events/'}","[""https://en.wikipedia.org/wiki/Eden_Park"",""https://www.wikidata.org/wiki/Q312411"",""https://www.wikidata.org/wiki/Q312411#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Eden+Park%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q312411#P856"",""https://edenpark.co.nz/contact/"",""https://edenpark.co.nz/events/"",""https://edenpark.co.nz/venue-hire/"",""https://www.eventbrite.com/d/spain/Eden+Park+Riudellots+de+la+Selva+Spain"",""https://www.ticketmaster.com/search?q=Eden+Park+Riudellots+de+la+Selva+Spain""]"
Fernando Buesa Arena,Vitoria-Gasteiz,Spain,arena,"Fernando Buesa Arena, Zurbaoko atea, Betoño, Vitoria-Gasteiz, Gasteizko kuadrilla, Araba / Álava, Euskadi, 01013, España",42.8640637,-2.6416626,"https://www.google.com/maps?q=42.8640637,-2.6416626",15716,15716,"[""concerts"",""esports"",""sports""]",[],[],true,http://www.buesa-arena.com/,,,"official_site_links={'contact_url': 'https://buesa-arena.com/contacto/', 'events_url': 'http://baskoniaalavesevents.com/espaciosbaskonia/'}","[""https://en.wikipedia.org/wiki/Fernando_Buesa_Arena"",""https://www.wikidata.org/wiki/Q1684038"",""https://www.wikidata.org/wiki/Q1684038#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Fernando+Buesa+Arena%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1684038#P856"",""https://buesa-arena.com/contacto/"",""http://baskoniaalavesevents.com/espaciosbaskonia/"",""http://www.buesa-arena.com/"",""https://www.eventbrite.com/d/spain/Fernando+Buesa+Arena+Vitoria-Gasteiz+Spain"",""https://www.ticketmaster.com/search?q=Fernando+Buesa+Arena+Vitoria-Gasteiz+Spain""]"
Iradier Arena,Vitoria-Gasteiz,Spain,arena,"Iradier Arena, 6, Berpizkundearen plaza, Desamparados, Vitoria-Gasteiz, Gasteizko kuadrilla, Araba / Álava, Euskadi, 01002, España",42.8409934,-2.6645219,"https://www.google.com/maps?q=42.8409934,-2.6645219",10714,10714,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/pages/Ayuntamiento-de-Vitoria-Gasteizko-Udala/134212351205,,,official_site_links={'events_url': 'http://www.vitoria-gasteiz.org/wb021/was/we001Action.do?accionWe001=ficha&accion=calMunicipales&primeraVezCalen=true&calendariosID=246&claveArea=&idioma=en&esActividadMunicipal=SI'},"[""https://en.wikipedia.org/wiki/Iradier_Arena"",""https://www.wikidata.org/wiki/Q6066367"",""https://www.wikidata.org/wiki/Q6066367#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Iradier+Arena%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q6066367#P856"",""http://www.vitoria-gasteiz.org/wb021/was/we001Action.do?accionWe001=ficha&accion=calMunicipales&primeraVezCalen=true&calendariosID=246&claveArea=&idioma=en&esActividadMunicipal=SI"",""https://www.facebook.com/pages/Ayuntamiento-de-Vitoria-Gasteizko-Udala/134212351205"",""https://www.eventbrite.com/d/spain/Iradier+Arena+Vitoria-Gasteiz+Spain"",""https://www.ticketmaster.com/search?q=Iradier+Arena+Vitoria-Gasteiz+Spain""]"
Madrid Arena,Madrid,Spain,arena,"Madrid Arena, Calle Principal de las Provincias, Recinto Ferial de la Casa de Campo, Casa de Campo, Moncloa-Aravaca, Madrid, Comunidad de Madrid, 28011, España",40.4130742,-3.738214,"https://www.google.com/maps?q=40.4130742,-3.738214",12000,12000,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/MadridDestinoCTN,,,official_site_links={'contact_url': 'https://www.madrid-destino.com/contacto'},"[""https://en.wikipedia.org/wiki/Madrid_Arena"",""https://www.wikidata.org/wiki/Q1423431"",""https://www.wikidata.org/wiki/Q1423431#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Madrid+Arena%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1423431#P856"",""https://www.madrid-destino.com/contacto"",""https://www.facebook.com/MadridDestinoCTN"",""https://www.eventbrite.com/d/spain/Madrid+Arena+Madrid+Spain"",""https://www.ticketmaster.com/search?q=Madrid+Arena+Madrid+Spain""]"
Mestalla Stadium,València,Spain,stadium,"Mestalla, Avinguda de Suècia, Mestalla, el Pla del Real, València, Comarca de València, València / Valencia, Comunitat Valenciana, 46010, España",39.4745279,-0.3581566,"https://www.google.com/maps?q=39.4745279,-0.3581566",49430,49430,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/ValenciaCF/,,,official_site_links={'contact_url': 'https://www.valenciacf.com/contactos'},"[""https://en.wikipedia.org/wiki/Mestalla_Stadium"",""https://www.wikidata.org/wiki/Q202762"",""https://www.wikidata.org/wiki/Q202762#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Mestalla+Stadium%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q202762#P856"",""https://www.valenciacf.com/contactos"",""https://www.facebook.com/ValenciaCF/"",""https://www.eventbrite.com/d/spain/Mestalla+Stadium+Val%C3%A8ncia+Spain"",""https://www.ticketmaster.com/search?q=Mestalla+Stadium+Val%C3%A8ncia+Spain""]"
Navarra Arena,Pamplona / Iruña,Spain,arena,"Nafarroa Arena, 1, Calle Aizagerria, Arrosadia, Milagrosa-Arrosadia, Pamplona / Iruña, Iruñerria, Navarra, Navarra / Nafarroa, 31006, España",42.7959745,-1.6353716,"https://www.google.com/maps?q=42.7959745,-1.6353716",11800,11800,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/navarrarena/,,,official_site_links={'contact_url': 'http://www.navarrarena.com/es/contacto'},"[""https://en.wikipedia.org/wiki/Navarra_Arena"",""https://www.wikidata.org/wiki/Q6107459"",""https://www.wikidata.org/wiki/Q6107459#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Navarra+Arena%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q6107459#P856"",""http://www.navarrarena.com/es/contacto"",""https://www.facebook.com/navarrarena/"",""https://www.eventbrite.com/d/spain/Navarra+Arena+Pamplona+%2F+Iru%C3%B1a+Spain"",""https://www.ticketmaster.com/search?q=Navarra+Arena+Pamplona+%2F+Iru%C3%B1a+Spain""]"
Pabellón Insular Santiago Martín,San Cristóbal de La Laguna,Spain,arena,"Pabellón Insular Santiago Martín, Calle Las Mercedes, Polígono Industrial Los Majuelos, Los Majuelos, San Jerónimo, San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canarias, 38108, España",28.4583739,-16.2969573,"https://www.google.com/maps?q=28.4583739,-16.2969573",5100,5100,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/PabellonSantiagoMartin,,,official_site_links={'contact_url': 'https://pabellonsantiagomartin.net/contacto/'},"[""https://en.wikipedia.org/wiki/Pabellón_Insular_Santiago_Martín"",""https://www.wikidata.org/wiki/Q7121533"",""https://www.wikidata.org/wiki/Q7121533#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Pabell%C3%B3n+Insular+Santiago+Mart%C3%ADn%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q7121533#P856"",""https://pabellonsantiagomartin.net/contacto/"",""https://www.facebook.com/PabellonSantiagoMartin"",""https://www.eventbrite.com/d/spain/Pabell%C3%B3n+Insular+Santiago+Mart%C3%ADn+San+Crist%C3%B3bal+de+La+Laguna+Spain"",""https://www.ticketmaster.com/search?q=Pabell%C3%B3n+Insular+Santiago+Mart%C3%ADn+San+Crist%C3%B3bal+de+La+Laguna+Spain""]"
Palau Sant Jordi,Barcelona,Spain,arena,"Palau Sant Jordi, Passeig Olímpic, Montjuïc, el Poble-sec, Sants-Montjuïc, Barcelona, Barcelonès, Barcelona, Catalunya, 08038, España",41.3634668,2.1525682,"https://www.google.com/maps?q=41.3634668,2.1525682",17960,17960,"[""concerts"",""esports"",""sports""]",[],[],true,https://es-es.facebook.com/palau.sant.jordi,,,official_site_links={'contact_url': 'http://palausantjordi.barcelona/ca/contacte/contacta-amb-nosaltres'},"[""https://en.wikipedia.org/wiki/Palau_Sant_Jordi"",""https://www.wikidata.org/wiki/Q630630"",""https://www.wikidata.org/wiki/Q630630#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Palau+Sant+Jordi%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q630630#P856"",""http://palausantjordi.barcelona/ca/contacte/contacta-amb-nosaltres"",""https://es-es.facebook.com/palau.sant.jordi"",""https://www.eventbrite.com/d/spain/Palau+Sant+Jordi+Barcelona+Spain"",""https://www.ticketmaster.com/search?q=Palau+Sant+Jordi+Barcelona+Spain""]"
Palma Arena,Palma,Spain,arena,"velòdrom Illes Balears, Carrer de l'Uruguai, es Camp Redó, Palma, Illes Balears, 07010, España",39.5881676,2.6430168,"https://www.google.com/maps?q=39.5881676,2.6430168",4500,4500,"[""concerts"",""esports"",""sports""]",[],[],true,https://velodromillesbalears.com/,,,official_site_links={'contact_url': 'https://velodromillesbalears.com/contacte'},"[""https://en.wikipedia.org/wiki/Palma_Arena"",""https://www.wikidata.org/wiki/Q2048142"",""https://www.wikidata.org/wiki/Q2048142#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Palma+Arena%2C+Spain&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q2048142#P856"",""https://velodromillesbalears.com/contacte"",""https://velodromillesbalears.com/"",""https://www.eventbrite.com/d/spain/Palma+Arena+Palma+Spain"",""https://www.ticketmaster.com/search?q=Palma+Arena+Palma+Spain""]"
