venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Chiang Mai,Mueang Chiang Mai,Thailand,,"Ducati Adventure Rides of Thailand, 199/1, ดอนปิน ซอย 9, บ้านไทยสมุทร, แม่เหียะ, ป่าแดด, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, 50230, ประเทศไทย",18.7405825,98.9573637,"https://www.google.com/maps?q=18.7405825,98.9573637",,,[],[],[],true,https://www.cmcity.go.th/Ebook.html,,,official_site_links={'events_url': 'https://www.cmcity.go.th/calendar/'},"[""https://www.wikidata.org/wiki/Q52028"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Chiang+Mai%2C+Mueang+Chiang+Mai%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q52028#P856"",""https://www.cmcity.go.th/calendar/"",""https://www.cmcity.go.th/Ebook.html"",""https://www.eventbrite.com/d/thailand/Chiang+Mai+Mueang+Chiang+Mai+Thailand"",""https://www.ticketmaster.com/search?q=Chiang+Mai+Mueang+Chiang+Mai+Thailand""]"
Amnat Charoen,Mueang Amnat Charoen,Thailand,,"อำนาจเจริญ, ไก่คำ, อำเภอเมืองอำนาจเจริญ, จังหวัดอำนาจเจริญ, 37000, ประเทศไทย",15.8640232,104.6278059,"https://www.google.com/maps?q=15.8640232,104.6278059",,,[],[],[],true,http://www.amnatmu.net/,,,,"[""https://www.wikidata.org/wiki/Q473674"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Amnat+Charoen%2C+Mueang+Amnat+Charoen%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q473674#P856"",""https://www.eventbrite.com/d/thailand/Amnat+Charoen+Mueang+Amnat+Charoen+Thailand"",""https://www.ticketmaster.com/search?q=Amnat+Charoen+Mueang+Amnat+Charoen+Thailand""]"
Ban Bueng,Chon Buri,Thailand,,"บ้านบึง, อำเภอบ้านบึง, จังหวัดชลบุรี, 20170, ประเทศไทย",13.3102264,101.1156016,"https://www.google.com/maps?q=13.3102264,101.1156016",,,[],[],[],true,http://www.banbungdistrict.go.th/,,,,"[""https://www.wikidata.org/wiki/Q475087"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Ban+Bueng%2C+Chon+Buri%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q475087#P856"",""https://www.eventbrite.com/d/thailand/Ban+Bueng+Chon+Buri+Thailand"",""https://www.ticketmaster.com/search?q=Ban+Bueng+Chon+Buri+Thailand""]"
Bang Khae,Bangkok,Thailand,,"เขตบางแค, กรุงเทพมหานคร, กระทุ่มล้ม, 10160, ประเทศไทย",13.7107428,100.4208233,"https://www.google.com/maps?q=13.7107428,100.4208233",,,[],[],[],true,http://www.bangkok.go.th/bangkhae/,,,,"[""https://www.wikidata.org/wiki/Q225618"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bang+Khae%2C+Bangkok%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q225618#P856"",""https://www.eventbrite.com/d/thailand/Bang+Khae+Bangkok+Thailand"",""https://www.ticketmaster.com/search?q=Bang+Khae+Bangkok+Thailand""]"
Bang Klam,Songkhla,Thailand,,"บางกล่ำ, 4208, ท่าช้าง, อำเภอบางกล่ำ, จังหวัดสงขลา, 90110, ประเทศไทย",7.0876974,100.4154354,"https://www.google.com/maps?q=7.0876974,100.4154354",,,[],[],[],true,http://www.bangklam-sk.go.th/,,,,"[""https://www.wikidata.org/wiki/Q198666"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bang+Klam%2C+Songkhla%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q198666#P856"",""https://www.eventbrite.com/d/thailand/Bang+Klam+Songkhla+Thailand"",""https://www.ticketmaster.com/search?q=Bang+Klam+Songkhla+Thailand""]"
Bang Sue,Bangkok,Thailand,,"เขตบางซื่อ, กรุงเทพมหานคร, 10800, ประเทศไทย",13.8097113,100.5374364,"https://www.google.com/maps?q=13.8097113,100.5374364",,,[],[],[],true,http://www.bangkok.go.th/bangsue,,,,"[""https://www.wikidata.org/wiki/Q166236"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bang+Sue%2C+Bangkok%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q166236#P856"",""https://www.eventbrite.com/d/thailand/Bang+Sue+Bangkok+Thailand"",""https://www.ticketmaster.com/search?q=Bang+Sue+Bangkok+Thailand""]"
Bangkok,Thailand,Thailand,,"Hide Bangkok, สมาคมคีตาอาศรม, ชุมชนเริ่มเจริญ, แขวงพระโขนง, เขตคลองเตย, กรุงเทพมหานคร, 12060, ประเทศไทย",13.706561,100.5963747,"https://www.google.com/maps?q=13.706561,100.5963747",,,[],[],[],true,https://www.bangkok.go.th/,,,,"[""https://www.wikidata.org/wiki/Q1861"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bangkok%2C+Thailand%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1861#P856"",""https://www.eventbrite.com/d/thailand/Bangkok+Thailand+Thailand"",""https://www.ticketmaster.com/search?q=Bangkok+Thailand+Thailand""]"
Bangkok Yai,Bangkok,Thailand,,"เขตบางกอกใหญ่, กรุงเทพมหานคร, 10600, ประเทศไทย",13.7393851,100.4854309,"https://www.google.com/maps?q=13.7393851,100.4854309",,,[],[],[],true,http://www.bangkok.go.th/bangkokyai/,,,,"[""https://www.wikidata.org/wiki/Q175236"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bangkok+Yai%2C+Bangkok%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q175236#P856"",""https://www.eventbrite.com/d/thailand/Bangkok+Yai+Bangkok+Thailand"",""https://www.ticketmaster.com/search?q=Bangkok+Yai+Bangkok+Thailand""]"
Chai Buri,Surat Thani,Thailand,,"อำเภอชัยบุรี, จังหวัดสุราษฎร์ธานี, 84350, ประเทศไทย",8.458716,99.0712816,"https://www.google.com/maps?q=8.458716,99.0712816",,,[],[],[],true,http://amphoechaiburi.go.th/,,,,"[""https://www.wikidata.org/wiki/Q475322"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Chai+Buri%2C+Surat+Thani%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q475322#P856"",""https://www.eventbrite.com/d/thailand/Chai+Buri+Surat+Thani+Thailand"",""https://www.ticketmaster.com/search?q=Chai+Buri+Surat+Thani+Thailand""]"
Chon Buri,Thailand,Thailand,,"Sandwich made in Thailand, ซอยเมดอินไทยแลนด์, นาเกลือ, เมืองพัทยา, หนองปลาไหล, อำเภอบางละมุง, จังหวัดชลบุรี, 20210, ประเทศไทย",12.9325198,100.8855163,"https://www.google.com/maps?q=12.9325198,100.8855163",,,[],[],[],true,https://ww2.chonburi.go.th/frontpage,,,,"[""https://www.wikidata.org/wiki/Q207068"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Chon+Buri%2C+Thailand%2C+Thailand&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q207068#P856"",""https://www.eventbrite.com/d/thailand/Chon+Buri+Thailand+Thailand"",""https://www.ticketmaster.com/search?q=Chon+Buri+Thailand+Thailand""]"
