venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Arena Birmingham,Birmingham,United Kingdom,arena,"Utilita Arena Birmingham, King Edwards Road, Ladywood, Park Central, Birmingham, West Midlands, England, B1 2AA, United Kingdom",52.4797407,-1.9150322,"https://www.google.com/maps?q=52.4797407,-1.9150322",12802,12802,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/UtilitaArenaBirmingham,,,official_site_links={'events_url': 'http://www.arenabham.co.uk/events'},"[""https://en.wikipedia.org/wiki/Arena_Birmingham"",""https://www.wikidata.org/wiki/Q32963"",""https://www.wikidata.org/wiki/Q32963#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Arena+Birmingham%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q32963#P856"",""http://www.arenabham.co.uk/events"",""https://www.facebook.com/UtilitaArenaBirmingham"",""https://www.eventbrite.com/d/united+kingdom/Arena+Birmingham+Birmingham+United+Kingdom"",""https://www.ticketmaster.com/search?q=Arena+Birmingham+Birmingham+United+Kingdom""]"
Bp pulse LIVE,Birmingham,United Kingdom,arena,"bp pulse LIVE, Perimeter Road, Bickenhill and Marston Green, Bickenhill, Birmingham, West Midlands, England, B40 1NT, United Kingdom",52.4484171,-1.7204631,"https://www.google.com/maps?q=52.4484171,-1.7204631",15685,15685,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/bppulselive,,,official_site_links={'events_url': 'https://www.bppulselive.co.uk/events'},"[""https://en.wikipedia.org/wiki/Bp_pulse_LIVE"",""https://www.wikidata.org/wiki/Q22097653"",""https://www.wikidata.org/wiki/Q22097653#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bp+pulse+LIVE%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q22097653#P856"",""https://www.bppulselive.co.uk/events"",""https://www.facebook.com/bppulselive"",""https://www.eventbrite.com/d/united+kingdom/Bp+pulse+LIVE+Birmingham+United+Kingdom"",""https://www.ticketmaster.com/search?q=Bp+pulse+LIVE+Birmingham+United+Kingdom""]"
Copper Box Arena,Greater London,United Kingdom,arena,"Copper Box Arena, Queen Elizabeth Olympic Park, London Borough of Hackney, Greater London, England, E20 3BS, United Kingdom",51.5443061,-0.0200648,"https://www.google.com/maps?q=51.5443061,-0.0200648",7000,7000,"[""concerts"",""esports"",""sports""]",[],[],true,https://bookings.better.org.uk/location/copper-box-arena,,,"official_site_links={'contact_url': 'https://copperboxarena.org.uk/contact-us', 'events_url': 'https://copperboxarena.org.uk/events'}","[""https://en.wikipedia.org/wiki/Copper_Box_Arena"",""https://www.wikidata.org/wiki/Q748774"",""https://www.wikidata.org/wiki/Q748774#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Copper+Box+Arena%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q748774#P856"",""https://copperboxarena.org.uk/contact-us"",""https://copperboxarena.org.uk/events"",""https://bookings.better.org.uk/location/copper-box-arena"",""https://www.eventbrite.com/d/united+kingdom/Copper+Box+Arena+Greater+London+United+Kingdom"",""https://www.ticketmaster.com/search?q=Copper+Box+Arena+Greater+London+United+Kingdom""]"
Kassam Stadium,Oxford,United Kingdom,stadium,"Kassam Stadium, Grenoble Road, Minchery Farm, Littlemore, Oxford, Oxfordshire, England, OX4 4XP, United Kingdom",51.7164667,-1.2076599,"https://www.google.com/maps?q=51.7164667,-1.2076599",12500,12500,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/kassam.stadium/,,,"official_site_links={'contact_url': 'https://www.thekassamstadium.com/contact', 'events_url': 'https://www.thekassamstadium.com/events'}","[""https://en.wikipedia.org/wiki/Kassam_Stadium"",""https://www.wikidata.org/wiki/Q1672134"",""https://www.wikidata.org/wiki/Q1672134#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Kassam+Stadium%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1672134#P856"",""https://www.thekassamstadium.com/contact"",""https://www.thekassamstadium.com/events"",""https://www.facebook.com/kassam.stadium/"",""https://www.eventbrite.com/d/united+kingdom/Kassam+Stadium+Oxford+United+Kingdom"",""https://www.ticketmaster.com/search?q=Kassam+Stadium+Oxford+United+Kingdom""]"
Leeds Arena,Leeds,United Kingdom,arena,"First Direct Bank Arena, Merrion Way, Arena Quarter, Lovell Park, Leeds, West Yorkshire, England, LS2 8BY, United Kingdom",53.8034152,-1.5421481,"https://www.google.com/maps?q=53.8034152,-1.5421481",13500,13500,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.facebook.com/firstdirectbankarena,,,"official_site_links={'contact_url': 'https://www.firstdirectbankarena.com/about/contact', 'events_url': 'https://www.firstdirectbankarena.com/organising-an-event/conferences-events'}","[""https://en.wikipedia.org/wiki/Leeds_Arena"",""https://www.wikidata.org/wiki/Q6515833"",""https://www.wikidata.org/wiki/Q6515833#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Leeds+Arena%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q6515833#P856"",""https://www.firstdirectbankarena.com/about/contact"",""https://www.firstdirectbankarena.com/organising-an-event/conferences-events"",""https://www.facebook.com/firstdirectbankarena"",""https://www.eventbrite.com/d/united+kingdom/Leeds+Arena+Leeds+United+Kingdom"",""https://www.ticketmaster.com/search?q=Leeds+Arena+Leeds+United+Kingdom""]"
Millennium Stadium,Cardiff,United Kingdom,stadium,"Principality Stadium, Scott Road, Castle Quarter, Castle, Cardiff, Cymru / Wales, CF10 1XR, United Kingdom",51.4782485,-3.1826256,"https://www.google.com/maps?q=51.4782485,-3.1826256",73931,73931,"[""concerts"",""sports""]",[],[],true,https://bookings.principalitystadium.wales/stadiumtours/booking/default.htm,,,"official_site_links={'contact_url': 'https://www.principalitystadium.wales/information/contact-us/', 'events_url': 'https://www.principalitystadium.wales/events-and-ticket-information/'}","[""https://en.wikipedia.org/wiki/Millennium_Stadium"",""https://www.wikidata.org/wiki/Q204496"",""https://www.wikidata.org/wiki/Q204496#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Millennium+Stadium%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q204496#P856"",""https://www.principalitystadium.wales/information/contact-us/"",""https://www.principalitystadium.wales/events-and-ticket-information/"",""https://bookings.principalitystadium.wales/stadiumtours/booking/default.htm"",""https://www.eventbrite.com/d/united+kingdom/Millennium+Stadium+Cardiff+United+Kingdom"",""https://www.ticketmaster.com/search?q=Millennium+Stadium+Cardiff+United+Kingdom""]"
Murrayfield Stadium,City of Edinburgh,United Kingdom,stadium,"Murrayfield Stadium, Roseburn Street, Murrayfield, City of Edinburgh, Alba / Scotland, EH12 5PJ, United Kingdom",55.9423133,-3.2408951,"https://www.google.com/maps?q=55.9423133,-3.2408951",67144,67144,"[""concerts"",""sports""]",[],[],true,https://www.facebook.com/TheMurrayfieldExperience,,,"official_site_links={'contact_url': 'https://murrayfieldexperience.com/contact-us/', 'events_url': 'https://murrayfieldexperience.com/whats-on/womens-scotland-v-england-2026-2/'}","[""https://en.wikipedia.org/wiki/Murrayfield_Stadium"",""https://www.wikidata.org/wiki/Q1024926"",""https://www.wikidata.org/wiki/Q1024926#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Murrayfield+Stadium%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1024926#P856"",""https://murrayfieldexperience.com/contact-us/"",""https://murrayfieldexperience.com/whats-on/womens-scotland-v-england-2026-2/"",""https://www.facebook.com/TheMurrayfieldExperience"",""https://www.eventbrite.com/d/united+kingdom/Murrayfield+Stadium+City+of+Edinburgh+United+Kingdom"",""https://www.ticketmaster.com/search?q=Murrayfield+Stadium+City+of+Edinburgh+United+Kingdom""]"
Nottingham Arena,City of Nottingham,United Kingdom,arena,"Motorpoint Arena, Bolero Square, Rainbow Quarter, Lace Market, St Ann's, City of Nottingham, East Midlands, England, NG1 1LA, United Kingdom",52.9528131,-1.1394945,"https://www.google.com/maps?q=52.9528131,-1.1394945",10500,10500,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.motorpointarenanottingham.com/group-bookings/,,,"official_site_links={'contact_url': 'https://www.motorpointarenanottingham.com/contact-us/', 'events_url': 'https://nottingham.events/'}","[""https://en.wikipedia.org/wiki/Nottingham_Arena"",""https://www.wikidata.org/wiki/Q15207459"",""https://www.wikidata.org/wiki/Q15207459#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Nottingham+Arena%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q15207459#P856"",""https://www.motorpointarenanottingham.com/contact-us/"",""https://nottingham.events/"",""https://www.motorpointarenanottingham.com/group-bookings/"",""https://www.eventbrite.com/d/united+kingdom/Nottingham+Arena+City+of+Nottingham+United+Kingdom"",""https://www.ticketmaster.com/search?q=Nottingham+Arena+City+of+Nottingham+United+Kingdom""]"
Odsal Stadium,Bradford,United Kingdom,stadium,"Odsal Stadium, Northern View, Staithgate, Low Moor, Bradford, West Yorkshire, England, BD6 1BS, United Kingdom",53.764956,-1.757127,"https://www.google.com/maps?q=53.764956,-1.757127",27491,27491,"[""concerts"",""sports""]",[],[],true,https://odsalstadium.co.uk,,,"official_site_links={'contact_url': 'https://odsalstadium.co.uk/contact-us', 'events_url': 'https://odsalstadium.co.uk/events'}","[""https://en.wikipedia.org/wiki/Odsal_Stadium"",""https://www.wikidata.org/wiki/Q3115714"",""https://www.wikidata.org/wiki/Q3115714#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Odsal+Stadium%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q3115714#P856"",""https://odsalstadium.co.uk/contact-us"",""https://odsalstadium.co.uk/events"",""https://odsalstadium.co.uk"",""https://www.eventbrite.com/d/united+kingdom/Odsal+Stadium+Bradford+United+Kingdom"",""https://www.ticketmaster.com/search?q=Odsal+Stadium+Bradford+United+Kingdom""]"
Swansea Arena,Swansea,United Kingdom,arena,"Swansea Arena, Victoria Quay, Waterfront, Swansea, Cymru / Wales, SA1 3XE, United Kingdom",51.6160884,-3.9423902,"https://www.google.com/maps?q=51.6160884,-3.9423902",3500,3500,"[""concerts"",""esports"",""sports""]",[],[],true,https://www.swansea-arena.co.uk/shows/the-shires,,,"official_site_links={'contact_url': 'https://www.swansea-arena.co.uk/contact', 'events_url': 'https://www.swansea-arena.co.uk/whats-on/events-at-swansea-arena'}","[""https://en.wikipedia.org/wiki/Swansea_Arena"",""https://www.wikidata.org/wiki/Q123529186"",""https://www.wikidata.org/wiki/Q123529186#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Swansea+Arena%2C+United+Kingdom&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q123529186#P856"",""https://www.swansea-arena.co.uk/contact"",""https://www.swansea-arena.co.uk/whats-on/events-at-swansea-arena"",""https://www.swansea-arena.co.uk/shows/the-shires"",""https://www.eventbrite.com/d/united+kingdom/Swansea+Arena+Swansea+United+Kingdom"",""https://www.ticketmaster.com/search?q=Swansea+Arena+Swansea+United+Kingdom""]"
